di,luas_cea_ha,jaringan_m,jarak_jaringan_m,di_jalur
DI Cimaragas,801.0,0.0,143.76900868516805,False
DI Cikamiri,629.0,0.0,7457.292615323955,False
DI Cimanuk,627.0,0.0,5652.263400581884,False
DI Citameng I,616.0,6668.427182323718,0.0,True
DI Cianten,584.0,0.0,276.4788628560236,False
DI Ciroyom,566.0,0.0,3014.9825264960964,False
DI Cipancar,516.0,2404.7891072890166,0.0,True
DI Cibuyutan Utara,453.0,11570.860488107717,0.0,True
DI Cimarijawa,430.0,0.0,2582.8046269812303,False
DI Badama,427.0,0.0,69.66551550999468,False
DI Beulah Nangka,419.0,0.0,7495.529936252093,False
DI Parigi,383.0,12174.925298887116,0.0,True
DI Baranang Siang,363.0,0.0,9254.019490874598,False
DI Citikey,361.0,9691.346953715456,0.0,True
DI Cikamiri II,352.0,0.0,4001.139695820077,False
DI Citameng II,339.0,4340.157096526737,0.0,True
DI Citameng IV,311.0,7476.655724721232,0.0,True
DI Ciojar,309.0,5278.321718125484,0.0,True
DI Cipeujeuh,308.0,0.0,3044.997433102496,False
DI Cicapar,294.0,0.0,322.37077653510823,False
DI Cidahu,282.0,0.0,457.0274464127958,False
DI Cipacing,280.0,3068.2252256415663,0.0,True
DI Cibuyutan Selatan,266.0,8255.224294893942,0.0,True
DI Cibedug,248.0,0.0,846.3542561627112,False
DI Simpangsari,220.0,0.0,13539.490603943692,False
DI PASIRJUNTI,165.0,0.0,4078.395337145615,False
DI Cisangkan,135.0,0.0,630.3718073116409,False
DI Cadasgantung,132.0,0.0,13362.587752571213,False
DI Citameng III,124.0,5798.793137170536,0.0,True
DI Leuwibolang,115.0,0.0,719.1844115591114,False
DI Cisalak,70.0,0.0,3571.799562728397,False
DI Cikuray,4.0,0.0,18439.441695086352,False
