petak,di,rezim,kewenangan,status,jaringan_m,jarak_jaringan_m,tanam,bulan_tanam_optimum,luas_ha,luas_m2,luas_cea_ha,luas_geom_ha,luas_sawah_big_ha,lat,lon,elev_rata_m,eto_rata_mm_hari,hujan_tahunan_mm,n_musim,hujan_mm,irigasi_mm,irigasi_m3,irigasi_mm_andalan,irigasi_m3_andalan,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,debit_l_detik_andalan,etc_mm,etc_m3,perkolasi_mm,perkolasi_m3,limpasan_mm,limpasan_m3,masuk_mm,keluar_mm,water_loss_m3,etc_pct,perkolasi_pct,limpasan_pct,loss_pct_masuk,irigasi_pct_masuk,hujan_pct_masuk,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas
DI Citameng I,DI Citameng I,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,6668.427182323718,0.0,Jan,Jan,616.0,6160000.0,616.0,609.9485649848683,589.8613922843921,-7.1442499999999995,107.9961,676.0,3.4520945506914265,2450.2454545454543,9,1380.2999999999997,230.39769873902435,1419249.8242323902,283.78682686702393,1748126.8535008675,1.6456978481358882,0.2930373661210627,180.5110175305746,222.3401065197481,488.827222449268,3011175.690287491,280.0,1724800.0,667.4946220383616,4111766.871756308,1610.697698739024,1436.3218444876297,8847742.5620438,34.033265199252355,19.494238082822076,46.47249671792556,89.17389312793401,14.304217291636855,85.69578270836315,39.32373960537518,4.104718129907413,49.0,0.0,65.0
DI Citameng I,DI Citameng I,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,6668.427182323718,0.0,Jan,Jan,616.0,6160000.0,616.0,609.9485649848683,589.8613922843921,-7.1442499999999995,107.9961,676.0,3.4520945506914265,2450.2454545454543,9,1380.2999999999997,122.75123154276389,756147.5863034255,183.7868268670239,1132126.8535008673,0.876794511019742,0.15612437874283155,96.17261730558424,143.9925281721697,472.28672294650437,2909286.2133504674,192.0,1182720.0,657.5490593160226,4050502.2053866996,1503.0512315427636,1321.8357822625271,8142508.418737167,35.72960645218065,14.52525363410591,49.74513991371344,87.94349484054293,8.166802898446077,91.83319710155392,30.03815111476949,-0.6962874567096042,19.0,1.0,64.0
DI Cipancar,DI Cipancar,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,2404.7891072890166,0.0,Jan,Jan,516.0,5160000.0,516.0,516.3266241021282,506.613178394302,-7.09195,107.942525,610.0,3.5751612622072666,2307.909090909091,9,1315.3000000000002,264.449412065032,1364558.9662555652,294.54179884676824,1519835.682049324,1.8889243718930857,0.33634693231714485,173.55501707564673,193.3042941149425,496.3435313524586,2561132.6217786865,280.0,1444800.0,575.9428212508144,2971864.9576542024,1579.7494120650322,1352.286352603273,6977797.579432888,36.70402577064781,20.705673725167365,42.59030050418483,85.60132020151082,16.739959517968515,83.2600404820315,38.20380049035694,6.0064968879972085,54.0,0.0,59.0
DI Cipancar,DI Cipancar,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,2404.7891072890166,0.0,Jan,Jan,516.0,5160000.0,516.0,516.3266241021282,506.613178394302,-7.09195,107.942525,610.0,3.5751612622072666,2307.909090909091,9,1315.3000000000002,138.54548040362704,714894.6788827155,185.82442539952098,958854.0350615282,0.9896105743116217,0.17621270910107223,90.92575789615327,121.95436953875765,479.5857946640462,2474662.7004664782,192.0,990720.0,546.3060460202278,2818939.1974643753,1453.8454804036273,1217.891840684274,6284321.897930855,39.378356816528985,15.764946737152338,44.85669644631867,83.77037705177266,9.529587722428591,90.47041227757141,29.175956303781778,-1.6537531725937682,23.0,2.0,55.0
DI Cibuyutan Utara,DI Cibuyutan Utara,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,11570.860488107717,0.0,Jan,Jan,453.0,4530000.0,453.0,452.78750248049107,400.77256408085685,-7.11965,107.93715,639.0,3.4842292786314513,2402.2727272727275,9,1395.0,222.9292950349182,1009869.7065081794,284.0633039402433,1286806.7668493022,1.5923521073922728,0.2835384806610172,128.4429317394408,163.66589932454494,491.07305971340224,2224560.9605017123,280.0,1268400.0,672.0814334467048,3044528.8935135724,1617.9292950349181,1443.154493160107,6537489.854015284,34.02775392661452,19.401942157064408,46.570303916321066,89.19762424655033,13.778679681432369,86.22132031856763,39.28373714458611,4.043201013790058,49.0,0.0,65.0
DI Cibuyutan Utara,DI Cibuyutan Utara,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,11570.860488107717,0.0,Jan,Jan,453.0,4530000.0,453.0,452.78750248049107,400.77256408085685,-7.11965,107.93715,639.0,3.4842292786314513,2402.2727272727275,9,1395.0,122.92929503491816,556869.7065081792,184.06330394024332,833806.7668493022,0.8780663931065582,0.15635085347338998,70.82693662344566,106.04990420854982,474.45922252482467,2149300.278037456,192.0,869760.0,660.1263645137624,2990372.431247344,1517.9292950349181,1326.5855870385872,6009432.709284799,35.76544379499759,14.473246345802126,49.76130985920028,87.39442550965924,8.09848623628351,91.9015137637165,30.013504515719383,-0.7132723454840493,19.0,1.0,64.0
DI Parigi,DI Parigi,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,12174.925298887116,0.0,Jan,Jan,383.0,3830000.0,383.0,382.83006042055837,282.3686708438034,-7.14415,107.95762500000001,650.0,3.4665378354767746,2450.2454545454543,9,1380.2999999999997,230.55393657450105,883021.5770803391,284.01324629103664,1087770.7332946705,1.6468138326750075,0.2932360813167748,112.30941914432475,138.35097849189435,490.69144013312973,1879348.215709887,280.0,1072400.0,666.4902087177638,2552657.4993890356,1610.8539365745007,1437.1816488508935,5504405.715098922,34.142617986074676,19.482575513253703,46.37480650067163,89.21861977797172,14.312528984767956,85.68747101523205,39.29008212129606,4.055797495122846,49.0,0.0,65.0
DI Parigi,DI Parigi,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,12174.925298887116,0.0,Jan,Jan,383.0,3830000.0,383.0,382.83006042055837,282.3686708438034,-7.14415,107.95762500000001,650.0,3.4665378354767746,2450.2454545454543,9,1380.2999999999997,122.94628409300701,470884.2680762168,184.01324629103667,704770.7332946705,0.8781877435214787,0.15637246145325473,59.890652736596564,89.63811727903317,474.08875986770533,1815759.9502933116,192.0,735360.0,656.3094944944698,2513665.3639138197,1503.2462840930068,1322.398254362175,5064785.314207131,35.85067949869382,14.519075427289208,49.630245074016976,87.96950096304761,8.17871864337835,91.82128135662164,30.016687384653768,-0.713059246597056,19.0,1.0,64.0
DI Citikey,DI Citikey,FL,Kab. Garut,Sesuai Permen PUPR No. 14/2015,9691.346953715456,0.0,Jan,Jan,361.0,3610000.0,361.0,360.1779678579137,286.1996377127074,-7.07275,107.973175,576.0,3.589686954654994,2307.909090909091,9,1315.3000000000002,264.9641651111394,956520.6360512133,295.0562730243709,1065153.145617979,1.8926011793652813,0.33700163450236487,121.65759005535372,135.47430118258788,498.7214048852678,1800384.271635817,280.0,1010800.0,574.7566353063902,2074871.4534560686,1580.2641651111396,1353.478040191658,4886055.725091886,36.84739538253955,20.687443141696697,42.46516147576375,85.64884720375015,16.767080527482854,83.23291947251715,38.16807820927707,5.942957466592012,54.0,0.0,59.0
DI Citikey,DI Citikey,SRI,Kab. Garut,Sesuai Permen PUPR No. 14/2015,9691.346953715456,0.0,Jan,Jan,361.0,3610000.0,361.0,360.1779678579137,286.1996377127074,-7.07275,107.973175,576.0,3.589686954654994,2307.909090909091,9,1315.3000000000002,139.0371241889144,501924.01832198096,186.14910323507974,671998.2626786379,0.9931223156351028,0.17683801916579464,63.83852491885187,85.46986450430376,481.88560360728326,1739607.0290222927,192.0,693120.0,544.872800204293,1966990.8087374978,1454.3371241889145,1218.758403811576,4399717.837759789,39.53905893901712,15.753737524970848,44.70720353601205,83.80164293002414,9.560171563828817,90.4398284361712,29.14172485684733,-1.6697765046687034,23.0,2.0,55.0
