di,kewenangan,luas_cea_ha,n_saluran,n_primer,n_sekunder,n_tersier,n_suplesi,panjang_km,panjang_primer_km,panjang_sekunder_km,panjang_tersier_km,luas_layanan_ha,debit_lahan_l_detik,debit_lewat_maks_l_detik,saluran_masuk,debit_masuk_l_detik,tot_air_jam,saluran_ujung,tot_air_jam_ujung,saluran
DI Parigi,Kab. Garut,383,23,0,4,18,1,11.838625545760648,0.0,4.6557365565114095,6.482920399811878,210.3245321492422,44.48396161195647,136.3237760674273,C.1.M,4.736713597076828,14.879735607299724,BG.2.Ka,28.90477950534537,SS Situ Bagendit; SS Cinanti; SS Ranca Ucing; SS Parigi; PG.5.Ki; CN.6.Ki; RU.4.Ka; BG.2.Ka; BG.3M; PG.1.Ka; BG.1B.Ka; BG.3.Ka; PG.2.Ka; RU.4M.b; RU.4M.a; C.1.M; RU.1.Ka; RU.2.Ki; PG.6M; PG.5.Ka; CN.4.Ki; Saluran Cikananga; Suplesi Situ Rancakukuk
DI Cibuyutan Utara,Kab. Garut,453,20,0,6,14,0,10.603162385660243,0.0,4.824569499573426,5.778592886086813,245.7239708383848,53.29944261304318,332.4316215909816,SS Ciduga,332.4316215909816,11.389608680559046,SB.4.Ki,27.382704527472484,SS Kawung Luwuk; SS Ciseureuh; SS Ciduga; SS Leuwigoong; SS Cikukuk; SS Cinanti; SS Sawah Bera; Saluran Cikananga; CN.6M; CD.17.Ka; LG.12.Ki; LG.13.Ki; CS.4.Ka; C.1.Ki; SB.4.Ki; C.1.M; CS.5.Ka; LG.6.Ki; LG.8.Ki; LG.11.Ki
DI Citikey,Kab. Garut,361,20,0,3,16,1,9.38084871473846,0.0,3.02236910130554,5.783731068512065,171.58899936910674,41.7449576824986,83.50910336408047,SS Kawung Luwuk,80.43464312916197,19.604063069648344,CTL.9.Ka,31.91395871744457,SS Citikey Kiri; SS Citikey Kanan; SS Kawung Luwuk; CTR.6.Te.b; CTL.5.Ka; CTL.7.Ka; CTR.6.Te.a; CTR.6.Ki; CTL.9.Ka; CTL.10.Ki; CTL.11.Ki.a2; CTL.11.Ki.a1; CTR.3.Ki.b; KL.7M.b; CTL.6.Ka; CTR.5.Ki; CTL.9.Ki; CTL.11M; KL.7M.a; Suplesi Cicukanggantung
DI Cibuyutan Selatan,Kab. Garut,266,12,1,3,7,1,8.111022906828852,0.9892532623035025,1.3557552921546172,3.831064458831169,176.2785518156971,37.31387231939924,432.15409107759376,SI Copong Kiri,432.15409107759376,4.295790564210112,CN.3.Ki,20.559710504016,SI Copong Kiri; Inlet Situ Bagendit; SS Ciduga; SS Cinanti; CN.3.Ki; CP.3.Ka.2; CP.Ki.1; CD.4.Ki.1; CD.3.Ki; CD.1.Ki; CD.4.Ki.2; Suplesi Cibuyutan Selatan
DI Citameng IV,Kab. Garut,311,16,0,8,8,0,7.074703286022588,0.0,4.3439678539303195,2.7307354320922683,141.39235872757325,30.306167289863723,342.29645525138886,SS Cipanas Kiara,100.46508077786012,18.240421461427463,KR.2.Ki,26.54540579306732,SS Cibatu; SS Munjul; SS Tegal Buah; SS Cipanas Kiara; SS Cikondang; SS Wanakerta; SS Sumur Kondang; SS Kresek; KR.2.Ki; CO.2.Ki; KR.2.Ki (2); SK.3; CO.3; Ruas tanpa nama R045; CK.6.Ka; Ruas tanpa nama R049
DI Citameng I,Kab. Garut,616,9,1,0,8,0,6.640254252714434,0.08840547795527798,0.0,6.551848774759155,364.9582269797084,77.25297258081092,732.7409541494965,SI Copong Kanan,732.7409541494965,12.733305356462632,CP.Ka.16a.Ki,14.133139657355306,SI Copong Kanan; CP.Ka.15b.Ki; CP.Ka.16.Ki; CP.Ka.16a.Ki; Suplesi Cipari; CP.Ka.15a.Ki; CP.Ka.13.Ki; CP.Ka.12 dan Suplesi Situ Sunarsa; CP.Ka.17a.Ki
DI Citameng III,Kab. Garut,124,8,0,4,4,0,5.577271577382553,0.0,4.472433899934312,1.1048376774482416,196.82124996779066,41.58202619737956,483.14495975645127,SS Copong Kanan,483.14495975645127,15.075194929419784,TB.1.Ki,23.190517592252032,SS Copong Kanan; SS Cipanas Kiara; SS Munjul; Suplesi Citameng III; TB.1.Ki; CP.Ka.20.Ki; CP.Ka.19.Ki; CK.2.Ki
DI Ciojar,Kab. Garut,309,5,2,0,3,0,5.0628118594008225,2.6427903529193055,0.0,2.420021506481517,219.28922794265748,46.41293921362904,1272.4164433306692,SI Copong,1272.4164433306692,2.682431162740351,SI Copong Kanan,12.733305356462632,SI Copong; SI Copong Kanan; CP.1-1.Ka; CP.2.Ka; CP.1.Ka
DI Citameng II,Kab. Garut,339,6,0,3,3,0,4.221826952868949,0.0,3.122953721893224,1.0988732309757243,136.18195686234608,29.990275647620837,483.14495975645127,SS Copong Kanan,483.14495975645127,15.075194929419784,TB.1.Ki,23.190517592252032,SS Tegal Buah; SS Wanakerta; SS Copong Kanan; TB.2.Ki; TB.1.Ki; TB.2a.Ki
DI Cipacing,Kab. Garut,280,6,0,2,4,0,2.9246010370310227,0.0,1.805023987817266,1.1195770492137564,128.81303617265132,28.456559518893844,25.52958104395387,SS Cikarag,18.73760270889354,25.280541318882403,CA.2.Ki,26.05737869577104,SS Pasir Laja; SS Cikarag; PL.5.Ka; CA.2.Ki; Ruas tanpa nama R047; PL.2.Ka
DI Cipancar,Kab. Garut,516,5,0,1,3,1,2.2707904221818125,0.0,0.6267412634447883,0.9075562093888988,121.55942341695634,29.56773679611271,83.50910336408047,SS Kawung Luwuk,80.43464312916197,19.604063069648344,Suplesi Cicukanggantung,22.33661507311932,SS Kawung Luwuk; CS.6.Ki.b; CS.6.Ki.a; CS.6.Ka; Suplesi Cicukanggantung
