di,saluran,kode,jenis,tingkat,hulu,terhubung,panjang_saluran_m,panjang_di_di_m,pangsa_di_di,luas_layanan_ha,luas_layanan_di_di_ha,debit_l_detik,debit_lahan_l_detik,debit_lahan_di_di_l_detik,kum_t_air_jam
DI Cibuyutan Selatan,SI Copong Kiri,R129,Primer,1.0,SI Copong,True,1911.4737366385025,989.2532623035025,0.5175343209492341,0.0,0.0,432.15409107759376,0.0,0.0,4.295790564210112
DI Cibuyutan Selatan,Inlet Situ Bagendit,R162,Sekunder,1.0,SI Copong,True,792.6508736429622,722.822331714091,0.9119050464071974,0.0,0.0,0.0,0.0,0.0,
DI Cibuyutan Selatan,SS Ciduga,R133,Sekunder,2.0,SI Copong Kiri,True,9725.387326466003,542.1602349793669,0.05574690413655497,0.0,0.0,332.4316215909816,0.0,0.0,11.389608680559046
DI Cibuyutan Selatan,SS Cinanti,R169,Sekunder,5.0,CN.6M,True,4787.803351743152,90.77272546115918,0.018959159094976297,0.0,0.0,136.3237760674273,0.0,0.0,18.277683194091303
DI Cibuyutan Selatan,CN.3.Ki,R121,Tersier,6.0,SS Cinanti,True,2135.2800654105818,1410.456814601077,0.6605488607555879,81.732693009036,53.988437253604936,15.645925111348973,17.300972412234525,11.428137616865373,20.559710504016
DI Cibuyutan Selatan,CP.3.Ka.2,R102,Tersier,1.0,SI Copong,True,3434.8674843961667,1143.3603466899976,0.33286883755604185,140.6239174926881,46.80931994836782,29.76355182702116,29.76355182702116,9.90735889819954,5.808187363839731
DI Cibuyutan Selatan,CP.Ki.1,R163,Tersier,2.0,SI Copong Kiri,True,444.95330467908303,442.99354741196305,0.9955955889157101,21.41131262717572,21.31700840451139,4.533182965785334,4.533182965785334,4.513216964483715,4.94394713525972
DI Cibuyutan Selatan,CD.4.Ki.1,R138,Tersier,3.0,SS Ciduga,True,386.22400620556,289.6636836185164,0.7499888120997552,14.066339402513108,10.549597179082786,2.977488186328784,2.977488186328784,2.2330828279057795,12.014555491614846
DI Cibuyutan Selatan,CD.3.Ki,R137,Tersier,3.0,SS Ciduga,True,360.82139060191946,259.39665938924287,0.7189059910126707,42.74017463474494,30.726167601845923,9.047013683876138,9.047013683876138,6.5039523381121676,11.83182245665648
DI Cibuyutan Selatan,CD.1.Ki,R134,Tersier,2.0,SI Copong Kiri,True,820.3173896387116,205.58624451813395,0.25061792802988037,25.12278066127375,6.296219235677575,5.318971486236697,5.318971486236697,1.3330296131306543,5.443921202135154
DI Cibuyutan Selatan,CD.4.Ki.2,R103,Tersier,3.0,Suplesi Cibuyutan Selatan,True,120.42020884394272,79.60716260223819,0.661078097824961,9.971291159538678,6.5918021926066785,2.1103316919620703,2.1103316919620703,1.3950940607020168,19.87674131756488
DI Cibuyutan Selatan,Suplesi Cibuyutan Selatan,R132,Suplesi,2.0,SI Copong Kiri,True,5225.358395531983,1934.949893539564,0.3702999386978069,0.0,0.0,2.931016238836208,0.0,0.0,19.66437873436153
DI Cibuyutan Utara,SS Kawung Luwuk,R155,Sekunder,4.0,SS Leuwigoong,True,4342.617571470593,1499.7170679518183,0.345348638987787,0.0,0.0,80.43464312916197,0.0,0.0,19.604063069648344
DI Cibuyutan Utara,SS Ciseureuh,R139,Sekunder,3.0,SS Ciduga,True,2502.502857827857,1329.383076678816,0.5312214020137842,0.0,0.0,15.41906300739136,0.0,0.0,15.322924426912635
DI Cibuyutan Utara,SS Ciduga,R133,Sekunder,2.0,SI Copong Kiri,True,9725.387326466003,1221.0327409429685,0.12555106546966346,0.0,0.0,332.4316215909816,0.0,0.0,11.389608680559046
DI Cibuyutan Utara,SS Leuwigoong,R140,Sekunder,3.0,SS Ciduga,True,3835.128228492411,392.9585811411128,0.10246295761943397,0.0,0.0,108.84468795810297,0.0,0.0,15.08769295572958
DI Cibuyutan Utara,SS Cikukuk,R130,Sekunder,3.0,SS Ciduga,True,2344.537506225029,330.4844930275839,0.1409593543076653,0.0,0.0,164.2839597135585,0.0,0.0,13.429265578872888
DI Cibuyutan Utara,SS Cinanti,R169,Sekunder,5.0,CN.6M,True,4787.803351743152,50.993539831125794,0.010650717267358103,0.0,0.0,136.3237760674273,0.0,0.0,18.277683194091303
DI Cibuyutan Utara,SS Sawah Bera,R166,Tersier,7.0,SS Parigi,True,5581.595219004993,1760.2727034004117,0.31537089923805117,101.57429556675211,32.03357693235821,28.775630268032387,21.51076609469672,6.783869646583887,26.84838770693184
DI Cibuyutan Utara,Saluran Cikananga,R126,Tersier,7.0,SS Parigi,True,3812.488169968064,1011.8320118423944,0.2653993840067103,48.89854188072039,12.977642893969517,10.355425955936468,10.355425955936468,2.748323669832638,26.243387756584283
DI Cibuyutan Utara,CN.6M,R124,Tersier,4.0,SS Cikukuk,True,767.4403743738087,547.9049843035814,0.7139381802145127,29.12779293860824,20.795443484255102,128.65605314581163,5.964654685127082,4.258394711507596,13.9136089842943
DI Cibuyutan Utara,CD.17.Ka,R086,Tersier,3.0,SS Ciduga,True,485.3633116030573,450.8917221842465,0.9289777603812738,69.61865264103564,64.67418001123114,14.736507477544324,14.736507477544324,13.68988771233102,11.916152605737098
DI Cibuyutan Utara,LG.12.Ki,R148,Tersier,4.0,SS Leuwigoong,True,681.065253047774,316.46558800052514,0.46466265395913003,33.29587735006051,15.4713507353768,8.084693370535899,8.084693370535899,3.7566550779989947,15.94619066214912
DI Cibuyutan Utara,LG.13.Ki,R149,Tersier,4.0,SS Leuwigoong,True,599.249135283751,312.0446057966888,0.5207260009627419,11.098625783353494,5.7793430203476435,2.694897790178631,2.694897790178631,1.403303349283049,16.081811431222423
DI Cibuyutan Utara,CS.4.Ka,R094,Tersier,4.0,SS Ciseureuh,True,557.3489644218649,309.11773941548324,0.5546215372197371,28.251047448536188,15.66863936397487,6.938578353326113,6.938578353326113,3.8482849924413207,16.05284545954987
DI Cibuyutan Utara,C.1.Ki,R131,Tersier,4.0,SS Cikukuk,True,486.2666969357943,289.73793079086175,0.5958416083532823,70.6276186213405,42.082873873501754,14.462796999314158,14.462796999314158,8.617536225358371,13.95926788347172
DI Cibuyutan Utara,SB.4.Ki,R125,Tersier,8.0,SS Sawah Bera,True,412.7047023358941,184.40223239228362,0.44681398430542096,34.30484333036537,15.327883729413799,7.264864173335675,7.264864173335675,3.246042906725821,27.382704527472484
DI Cibuyutan Utara,C.1.M,R085,Tersier,4.0,SS Cikukuk,True,1006.7270480318645,165.15778882097626,0.16405418841567548,23.13126578964805,3.79478103614799,4.736713597076828,4.736713597076828,0.7770777049259339,14.879735607299724
DI Cibuyutan Utara,CS.5.Ka,R095,Tersier,4.0,SS Ciseureuh,True,718.083970266799,137.9266962463732,0.19207599940592954,25.224149507621597,4.844953725841004,6.195159244041171,6.195159244041171,1.1899414032780908,16.29037417809816
DI Cibuyutan Utara,LG.6.Ki,R141,Tersier,4.0,SS Leuwigoong,True,385.8503004792233,124.46691723539858,0.32257825659539874,7.062761862134042,2.278293408235671,1.7149349573864014,1.7149349573864014,0.5532007287282098,15.804369569803145
DI Cibuyutan Utara,LG.8.Ki,R144,Tersier,4.0,SS Leuwigoong,True,169.1068639749203,102.01703857289769,0.6032696495869471,15.134489704572946,9.130178300754979,3.67486062297086,3.67486062297086,2.2169318803005007,15.347300507413188
DI Cibuyutan Utara,LG.11.Ki,R147,Tersier,4.0,SS Leuwigoong,True,77.41387214969092,66.35492708469155,0.8571451762080148,1.0089659803048634,0.8648303229763045,0.2449907081980574,0.2449907081980574,0.20999260374775025,15.321575436284176
DI Ciojar,SI Copong,R128,Primer,0.0,,True,4163.067551000023,1686.7775030710952,0.4051765873138209,0.0,0.0,1272.4164433306692,0.0,0.0,2.682431162740351
DI Ciojar,SI Copong Kanan,R001,Primer,1.0,SI Copong,True,13588.421421776266,956.01284984821,0.07035496031320766,0.0,0.0,732.7409541494965,0.0,0.0,12.733305356462632
DI Ciojar,CP.1-1.Ka,R171,Tersier,,,False,1456.4309374473607,1176.6729778167116,0.8079153961663491,149.98504074749007,121.17522361453446,31.744365416604595,31.744365416604595,25.64676156160545,
DI Ciojar,CP.2.Ka,R172,Tersier,1.0,SI Copong,True,1237.8923315567592,862.536338086471,0.6967781575977251,75.3271225828247,52.48629369039858,15.94325316026596,15.94325316026596,11.108910563124224,3.999186055389344
DI Ciojar,CP.1.Ka,R173,Tersier,1.0,SI Copong,True,1007.8624065183768,380.81219057833425,0.3778414475184522,120.75888163512332,45.627710637724434,25.559046399820232,25.559046399820232,9.657267088899362,3.635186495598858
DI Cipacing,SS Pasir Laja,R042,Sekunder,,,False,4277.680290312157,1716.715173467603,0.40131918632524277,0.0,0.0,0.0,0.0,0.0,
DI Cipacing,SS Cikarag,R034,Sekunder,61.0,SS Tegal Buah,True,2219.265837767045,88.30881434966305,0.03979190453294977,0.0,0.0,18.73760270889354,0.0,0.0,25.280541318882403
DI Cipacing,PL.5.Ka,R043,Tersier,,,False,631.0093707367679,560.632642198268,0.8884695983891207,69.30912554369289,61.579050936505965,15.310582111414558,15.310582111414558,13.602986739632147,
DI Cipacing,CA.2.Ki,R033,Tersier,62.0,SS Cikarag,True,740.6328032179443,304.7607844042283,0.4114870190465315,76.34048610609648,31.413119060360795,16.863842438004184,16.863842438004184,6.939252254484734,26.05737869577104
DI Cipacing,Ruas tanpa nama R047,R047,Tersier,,,False,635.3947316771092,133.0239463396609,0.20935638856895677,115.51520923948792,24.18384703116658,25.52958104395387,25.52958104395387,5.344780889040679,
DI Cipacing,PL.2.Ka,R044,Tersier,,,False,522.9108925714876,121.15967627159942,0.23170233780325314,50.22400401716876,11.637019144617978,11.089830426821893,11.089830426821893,2.569539635736281,
DI Cipancar,SS Kawung Luwuk,R155,Sekunder,4.0,SS Leuwigoong,True,4342.617571470593,626.7412634447883,0.14432338402585776,0.0,0.0,80.43464312916197,0.0,0.0,19.604063069648344
DI Cipancar,CS.6.Ki.b,R096,Tersier,,,False,957.4043135313776,687.0844733036156,0.7176534130803217,141.255237242681,101.37230312268059,27.943441219697384,34.316506761031874,24.62735820204846,
DI Cipancar,CS.6.Ki.a,R097,Tersier,,,False,558.6920157057763,164.0340764067262,0.29360375984523,44.39450313341402,13.0343930364312,10.904485884491084,10.904485884491084,3.201598054865821,
DI Cipancar,CS.6.Ka,R098,Tersier,,,False,700.5780506154197,56.437659678556976,0.08055870381462789,88.78900626682807,7.152727257844542,20.840599213545904,21.584018322830843,1.7387805391984312,
DI Cipancar,Suplesi Cicukanggantung,R154,Suplesi,5.0,SS Kawung Luwuk,True,2146.492843628349,736.4929493481256,0.34311456082154285,0.0,0.0,83.50910336408047,0.0,0.0,22.33661507311932
DI Citameng I,SI Copong Kanan,R001,Primer,1.0,SI Copong,True,13588.421421776266,88.40547795527797,0.006505941728713452,0.0,0.0,732.7409541494965,0.0,0.0,12.733305356462632
DI Citameng I,CP.Ka.15b.Ki,R008,Tersier,,,False,1691.6883571958645,1635.0791599185798,0.96653686417094,73.23275557524389,70.78215792829315,15.502427134866654,15.502427134866654,14.983667309972505,
DI Citameng I,CP.Ka.16.Ki,R012,Tersier,57.0,SI Copong Kanan,True,1175.8099699415322,1159.7098023176495,0.9863071686450462,79.36454208318588,78.27781679287769,16.800981141687505,16.800981141687505,16.570928140316617,13.967744773980618
DI Citameng I,CP.Ka.16a.Ki,R011,Tersier,57.0,SI Copong Kanan,True,1173.4487277342887,1148.6776773908937,0.9788903854442594,47.610970561129655,46.6059213239595,10.078947065511349,10.078947065511349,9.866184377830692,14.133139657355306
DI Citameng I,Suplesi Cipari,R100,Tersier,,,False,1495.0902052457348,1062.265032732729,0.7105023021391099,72.09240656576686,51.22182083172604,15.261319629230908,15.261319629230908,10.843202730249347,
DI Citameng I,CP.Ka.15a.Ki,R009,Tersier,,,False,813.3319736850584,754.0761669030908,0.9271443780655881,57.77233512951167,53.56329572304782,12.227604067386816,12.227604067386816,11.336754368289604,
DI Citameng I,CP.Ka.13.Ki,R099,Tersier,38.0,SI Copong Kanan,True,1008.383378205013,315.29489947867495,0.3126736381156144,40.969078628597856,12.809950865048357,8.67289975301467,8.67289975301467,2.7117871187871105,13.982272174459762
DI Citameng I,CP.Ka.12 dan Suplesi Situ Sunarsa,R002,Tersier,,,False,2100.1062116330654,245.30746232906571,0.11680716954706398,43.04627616964762,5.028113678917769,4.524161377387223,9.11243417163267,1.0643976432723568,
DI Citameng I,CP.Ka.17a.Ki,R010,Tersier,,,False,245.94707186456452,231.43857368847193,0.9410096730727415,49.59476100117673,46.66914983583806,10.495164050592347,10.495164050592347,9.876050892092694,
DI Citameng II,SS Tegal Buah,R084,Sekunder,58.0,SS Copong Kanan,True,9505.764740275474,2184.598815040447,0.2298183128585547,0.0,0.0,342.29645525138886,0.0,0.0,21.958312465778405
DI Citameng II,SS Wanakerta,R019,Sekunder,60.0,SS Cipanas Kiara,True,1447.7737976330443,660.9717750693258,0.45654354026156857,0.0,0.0,0.0,0.0,0.0,
DI Citameng II,SS Copong Kanan,R164,Sekunder,57.0,SI Copong Kanan,True,3525.226708597409,277.3831317834515,0.07868518955304711,0.0,0.0,483.14495975645127,0.0,0.0,15.075194929419784
DI Citameng II,TB.2.Ki,R017,Tersier,60.0,SS Tegal Buah,True,612.785962413819,460.26347838955013,0.7510999053838161,103.34912374752142,77.62551706826363,22.75976040101417,22.75976040101417,17.094853883760067,22.554637703874977
DI Citameng II,TB.1.Ki,R016,Tersier,60.0,SS Tegal Buah,True,1217.8533134683018,340.7194691459503,0.27977053178565625,88.44070804811685,24.74310392212162,19.476597883777018,19.476597883777018,5.448978147319683,23.190517592252032
DI Citameng II,TB.2a.Ki,R048,Tersier,60.0,SS Tegal Buah,True,376.452542209668,297.89028344022387,0.7913089965914261,42.73088770330202,33.813335871960824,9.410285550419296,9.410285550419296,7.446443616541089,22.415164788709998
DI Citameng III,SS Copong Kanan,R164,Sekunder,57.0,SI Copong Kanan,True,3525.226708597409,2350.441825076808,0.6667491254802118,0.0,0.0,483.14495975645127,0.0,0.0,15.075194929419784
DI Citameng III,SS Cipanas Kiara,R015,Sekunder,58.0,SS Copong Kanan,True,3217.4355604617767,1407.2445789741219,0.43738081230511094,0.0,0.0,100.46508077786012,0.0,0.0,18.240421461427463
DI Citameng III,SS Munjul,R021,Sekunder,62.0,SS Munjul,True,4369.918561840761,540.8186615718257,0.12375943714246569,0.0,0.0,0.0,0.0,0.0,
DI Citameng III,Suplesi Citameng III,R073,Sekunder,57.0,SI Copong Kanan,True,542.4121810765971,173.92883431155605,0.320658053744915,0.0,0.0,0.0,0.0,0.0,
DI Citameng III,TB.1.Ki,R016,Tersier,60.0,SS Tegal Buah,True,1217.8533134683018,345.5086390460272,0.2837030003737146,88.44070804811685,25.090894228426478,19.476597883777018,19.476597883777018,5.52556925669988,23.190517592252032
DI Citameng III,CP.Ka.20.Ki,R014,Tersier,58.0,SS Copong Kanan,True,483.5637103362641,334.0762914488529,0.6908630327460686,97.34420814769616,67.25151486118193,20.599476466412785,20.599476466412785,14.231416784567207,15.557648982425311
DI Citameng III,CP.Ka.19.Ki,R013,Tersier,58.0,SS Copong Kanan,True,314.72653729422206,270.5186671999748,0.8595356131252462,74.40691233754006,63.955391016803944,15.745604888069256,15.745604888069256,13.533908151494481,15.41101746000976
DI Citameng III,CK.2.Ki,R039,Tersier,59.0,SS Cipanas Kiara,True,260.46583285269514,154.7340797533866,0.5940667075550577,68.21363551604617,40.523449861378296,13.956567333559208,13.956567333559208,8.29113200461799,18.52685403940807
DI Citameng IV,SS Cibatu,R020,Sekunder,60.0,SS Cipanas Kiara,True,3151.202004753337,1524.9207614278673,0.48391717164677034,0.0,0.0,47.891834628706455,0.0,0.0,21.97128702332899
DI Citameng IV,SS Munjul,R021,Sekunder,62.0,SS Munjul,True,4369.918561840761,1243.5790797875525,0.28457717510957775,0.0,0.0,0.0,0.0,0.0,
DI Citameng IV,SS Tegal Buah,R084,Sekunder,58.0,SS Copong Kanan,True,9505.764740275474,660.721975738883,0.06950750347727788,0.0,0.0,342.29645525138886,0.0,0.0,21.958312465778405
DI Citameng IV,SS Cipanas Kiara,R015,Sekunder,58.0,SS Copong Kanan,True,3217.4355604617767,350.44852093103236,0.10892169068981598,0.0,0.0,100.46508077786012,0.0,0.0,18.240421461427463
DI Citameng IV,SS Cikondang,R018,Sekunder,60.0,SS Cipanas Kiara,True,860.6545562371455,204.99412561520293,0.2381839776825845,0.0,0.0,20.574408483781887,0.0,0.0,19.499044731965075
DI Citameng IV,SS Wanakerta,R019,Sekunder,60.0,SS Cipanas Kiara,True,1447.7737976330443,152.27282997931613,0.10517722466608109,0.0,0.0,0.0,0.0,0.0,
DI Citameng IV,SS Sumur Kondang,R028,Sekunder,61.0,SS Cibatu,True,828.6222109259519,132.3740196567268,0.15975195681612755,0.0,0.0,17.353101213031277,0.0,0.0,23.235764272120758
DI Citameng IV,SS Kresek,R090,Sekunder,62.0,SS Cibatu,True,934.7111007754148,74.65654079373883,0.07987124656143003,0.0,0.0,20.197373660054463,0.0,0.0,23.34454585215388
DI Citameng IV,KR.2.Ki,R091,Tersier,63.0,SS Kresek,True,2901.8207337804697,1126.174535747811,0.38809238718225003,56.71341586166015,22.010044947011373,13.787351492262998,13.787351492262998,5.350766153553104,26.54540579306732
DI Citameng IV,CO.2.Ki,R023,Tersier,61.0,SS Cikondang,True,1129.7741679591954,475.6673825511923,0.4210287294941693,66.58068549119153,28.03238142120724,13.63337177551701,13.63337177551701,5.740041197367594,20.748748630670867
DI Citameng IV,KR.2.Ki (2),R092,Tersier,63.0,SS Kresek,True,1254.3934332709289,384.9275874295474,0.3068635224164229,18.05916443448478,5.541698810263388,4.3902848017860165,4.3902848017860165,1.347218258687344,25.186491886284987
DI Citameng IV,SK.3,R029,Tersier,62.0,SS Sumur Kondang,True,453.6687125537087,258.86911178969467,0.5706126621175089,76.30059457592955,43.538085392119925,15.61779109172815,15.61779109172815,8.911709351246117,23.72082959743676
DI Citameng IV,CO.3,R165,Tersier,61.0,SS Cikondang,True,317.36330177146783,162.42830219081281,0.5118055593830974,23.849797787889518,12.206459098004553,4.883595859886691,4.883595859886691,2.499451510870286,19.9528171353044
DI Citameng IV,Ruas tanpa nama R045,R045,Tersier,,,False,2091.521224445836,154.23183311278967,0.07374146210428943,39.492728288686976,2.91225152649521,8.717376090605754,8.717376090605754,0.642832058634243,
DI Citameng IV,CK.6.Ka,R022,Tersier,60.0,SS Cipanas Kiara,True,700.4123719991428,103.54646345634264,0.1478364283611903,72.54313493816394,10.724517971382035,14.8423865652754,14.8423865652754,2.19424541816643,18.99890153882904
DI Citameng IV,Ruas tanpa nama R049,R049,Tersier,,,False,358.2822788724044,64.89021581407795,0.18111477915765797,90.69894592528038,16.42691956108952,19.98679157037498,19.98679157037498,3.6199033413386044,
DI Citikey,SS Citikey Kiri,R161,Sekunder,6.0,Suplesi Cicukanggantung,True,6304.301617086587,1847.9626825453004,0.2931272636982907,0.0,0.0,46.08728634608753,0.0,0.0,29.872606973969376
DI Citikey,SS Citikey Kanan,R158,Sekunder,6.0,Suplesi Cicukanggantung,True,2410.672466978415,724.1492192833467,0.30039303522266125,0.0,0.0,20.719996345176853,0.0,0.0,25.855779131477608
DI Citikey,SS Kawung Luwuk,R155,Sekunder,4.0,SS Leuwigoong,True,4342.617571470593,450.25719947689277,0.10368336425360539,0.0,0.0,80.43464312916197,0.0,0.0,19.604063069648344
DI Citikey,CTR.6.Te.b,R062,Tersier,7.0,SS Citikey Kanan,True,1591.5197024974757,888.2649019014403,0.5581237231983619,23.602250298379094,13.172975812390987,5.739784917456124,5.739784917456125,3.2035101284884147,28.04129728611838
DI Citikey,CTL.5.Ka,R066,Tersier,7.0,SS Citikey Kiri,True,698.1186453980307,506.71448261973853,0.7258286051518312,28.620011812593177,20.773223253363437,6.966004819151051,6.966004819151051,5.0561255613653415,30.785982979324068
DI Citikey,CTL.7.Ka,R068,Tersier,7.0,SS Citikey Kiri,True,1314.8137055431578,497.14544483708664,0.3781109390183248,24.396423728631408,9.224554684721763,5.937999130696346,5.937999130696346,2.2452224271975916,31.66288505205645
DI Citikey,CTR.6.Te.a,R065,Tersier,7.0,SS Citikey Kanan,True,493.6605782315955,449.1744103520738,0.9098851116715025,12.107591763658355,11.016517483949247,2.9444214730887275,2.9444214730887275,2.6790852608493068,26.656801708951825
DI Citikey,CTR.6.Ki,R061,Tersier,7.0,SS Citikey Kanan,True,897.5089900238899,447.11911621191376,0.49817786917099555,13.00654184751148,6.479571302876653,3.163035379289037,3.163035379289037,1.575754225366684,27.28625026644098
