petak,kode,nama,jenis,rezim,tanam,bulan_tanam_optimum,terhubung,tingkat,hulu,n_ruas_hilir,panjang_m,panjang_km,luas_ha,luas_m2,luas_layanan_sendiri_ha,luas_layanan_hilir_ha,zona_iklim,cuaca_dari,cuaca_jarak_km,efisiensi_kumulatif,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,debit_l_detik_hilir,debit_l_detik_bersih,debit_l_detik_km,irigasi_m3,irigasi_m3_andalan,irigasi_m3_kotor,irigasi_m3_sendiri,etc_m3_sendiri,perkolasi_m3_sendiri,limpasan_m3_sendiri,water_loss_m3_sendiri,debit_l_detik_sendiri,irigasi_mm,hujan_mm,masuk_mm,keluar_mm,etc_mm,perkolasi_mm,limpasan_mm,etc_m3,perkolasi_m3,limpasan_m3,water_loss_m3,etc_pct,perkolasi_pct,limpasan_pct,loss_pct_masuk,irigasi_pct_masuk,hujan_pct_masuk,elev_rata_m,eto_rata_mm_hari,hujan_tahunan_mm,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas,n_musim
"CP.Ka.8,Ki",R000,"CP.Ka.8,Ki",Tersier,FL,Jan,Jan,True,2.0,SI Copong Kanan,0,480.6415898718397,0.4806415898718397,105.81077817991364,1058107.7817991364,105.81077817991364,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,22.399485237685717,22.399485237685717,20.159536713917145,46.60330214798601,243849.75609154179,300224.1989388904,270944.1734350464,243849.75609154179,516736.9863747001,296270.1789037582,706470.5251333368,1519477.690411795,22.399485237685717,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,516736.9863747001,296270.1789037582,706470.5251333368,1519477.690411795,34.00754019854406,19.49815918807375,46.494300613382194,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
SI Copong Kanan,R001,SI Copong Kanan,Primer,FL,Jan,Jan,True,1.0,SI Copong,704,13588.421421776266,13.588421421776266,2473.2020697399025,24732020.697399024,0.0,2473.2020697399025,SI Copong Kanan,,0.0,0.6480000000000001,1.6461309538058848,0.2940191604162888,732.7409541494965,0.0,474.81613828887384,53.92392032935002,5743376.008742219,6816487.903242556,8863234.58139231,0.0,0.0,0.0,0.0,0.0,0.0,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,12098018.355404919,6924965.795271727,17961558.4154207,36984542.56609735,32.71101253661258,18.72394604555591,48.5650414178315,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.12 dan Suplesi Situ Sunarsa,R002,CP.Ka.12 dan Suplesi Situ Sunarsa,Tersier,FL,Jan,Jan,False,,,0,2100.1062116330654,2.1001062116330655,21.37170995356237,213717.09953562368,43.04627616964762,-21.67456621608525,CP.Ka.12 dan Suplesi Situ Sunarsa,,0.0,0.9,1.6460956538809406,0.2116892559003267,4.524161377387223,0.657262583075221,4.071745239648501,2.154253605044664,49251.830418788275,60675.67035302716,54724.25602087586,99201.60336606191,210851.91886712873,120529.57327501333,287109.92318160983,618491.4153237519,9.11243417163267,230.4533915433317,1380.2999999999997,1610.7533915433314,1436.8058525811732,489.826153686675,280.0,666.9796988944981,104684.22484260684,59840.787869974636,142544.96669687578,307069.9794094573,34.091325060147746,19.487671176797438,46.421003763054806,89.20085843833043,14.307180276834584,85.69281972316541,666.0,3.4589418291794307,2450.2454545454543,39.305898047452814,4.07874063924082,49.0,0.0,65.0,9.0
CP.Ka.9.Ki,R003,CP.Ka.9.Ki,Tersier,FL,Jan,Jan,True,2.0,SI Copong Kanan,0,249.1178547801445,0.2491178547801445,39.422463516718906,394224.63516718906,39.422463516718906,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,8.345490929803779,8.345490929803779,7.510941836823401,33.500171784832425,90852.35245821587,111856.06734108065,100947.05828690653,90852.35245821587,192523.3453860278,110382.89784681294,263213.3416063772,566119.584839218,8.345490929803779,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,192523.3453860278,110382.89784681294,263213.3416063772,566119.584839218,34.00754019854406,19.49815918807375,46.49430061338219,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.10.Ki,R004,CP.Ka.10.Ki,Tersier,FL,Jan,Jan,True,2.0,SI Copong Kanan,0,548.9792772467366,0.5489792772467366,80.14127911202307,801412.7911202307,80.14127911202307,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,16.96541155142723,16.96541155142723,15.268870396284509,30.90355547938505,184692.25631345744,227390.36360203807,205213.6181260638,184692.25631345744,391377.54929036007,224395.58151366457,535082.0824969237,1150855.2133009485,16.96541155142723,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,391377.54929036007,224395.58151366457,535082.0824969237,1150855.2133009485,34.00754019854406,19.498159188073743,46.49430061338218,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.12.Ki,R005,CP.Ka.12.Ki,Tersier,FL,Jan,Jan,True,2.0,SI Copong Kanan,0,539.5527518896938,0.5395527518896938,14.811944303301184,148119.44303301183,14.811944303301184,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,3.135596708296401,3.135596708296401,2.822037037466761,5.811473849988709,34135.36000519795,42026.9483853983,37928.17778355328,34135.36000519795,72335.53701517638,41473.44404924332,98895.42681943314,212704.40788385284,3.135596708296401,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,72335.53701517638,41473.44404924332,98895.42681943314,212704.40788385284,34.00754019854406,19.498159188073753,46.49430061338219,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.11.Ki,R006,CP.Ka.11.Ki,Tersier,FL,Jan,Jan,True,2.0,SI Copong Kanan,0,489.5414746406343,0.4895414746406343,23.414196194204354,234141.96194204353,23.414196194204354,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,4.956640060926405,4.956640060926405,4.460976054833765,10.125066654597564,53959.96635926923,66434.70936628505,59955.51817696581,53959.96635926923,114345.45126590812,65559.74934377219,156330.38302363257,336235.5836333129,4.956640060926405,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,114345.45126590812,65559.74934377219,156330.38302363257,336235.5836333129,34.00754019854406,19.498159188073746,46.49430061338219,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.12.Ki (2),R007,CP.Ka.12.Ki,Tersier,FL,Jan,Jan,True,38.0,SI Copong Kanan,0,626.3201866440619,0.6263201866440619,6.554612312575616,65546.12312575616,6.554612312575616,0.0,SI Copong Kanan,,0.0,0.9,1.6461309538058848,0.21169379549972797,1.3875707584783812,1.3875707584783812,1.2488136826305432,2.2154335562984793,15105.650305099052,18597.85236199657,16784.0558945545,15105.650305099052,32010.071861448545,18352.914475211724,43763.409381954414,94126.39571861469,1.3875707584783812,230.45833353282387,1380.2999999999997,1610.7583335328236,1436.032998290756,488.35949915808646,280.0,667.6734991326697,32010.071861448545,18352.914475211724,43763.409381954414,94126.39571861469,34.007540198544056,19.49815918807375,46.494300613382194,89.15260398753622,14.307443192137157,85.69255680786284,682.0,3.4443790702566353,2450.2454545454543,39.333386891780464,4.113538103386071,49.0,0.0,65.0,9.0
CP.Ka.15b.Ki,R008,CP.Ka.15b.Ki,Tersier,FL,Jan,Jan,False,,,0,1691.6883571958645,1.6916883571958645,73.23275557524389,732327.5557524388,73.23275557524389,0.0,CP.Ka.15b.Ki,,0.0,0.9,1.6460786222480153,0.2116870656183147,15.502427134866654,15.502427134866654,13.95218442137999,9.163878836740007,168765.62276101235,207869.5526473531,187517.35862334704,168765.62276101235,358324.0500034741,205051.71561068288,488664.3632556157,1052040.1288697727,15.502427134866654,230.45100711472213,1380.2999999999997,1610.751007114722,1436.570453489001,489.2947796226372,280.0,667.2756738663637,358324.0500034741,205051.71561068288,488664.3632556157,1052040.1288697727,34.059922256808655,19.490864462648773,46.44921328054258,89.18637623963222,14.307053423950384,85.69294657604961,669.0,3.4556728504754646,2450.2454545454543,39.3163771043309,4.089585767697048,49.0,0.0,65.0,9.0
CP.Ka.15a.Ki,R009,CP.Ka.15a.Ki,Tersier,FL,Jan,Jan,False,,,0,813.3319736850584,0.8133319736850584,57.77233512951167,577723.3512951167,57.77233512951167,0.0,CP.Ka.15a.Ki,,0.0,0.9,1.6458024245488656,0.21165154636688085,12.227604067386817,12.227604067386817,11.004843660648136,15.03396455937393,133114.58891919986,163924.31615328707,147905.09879911094,133114.58891919986,282167.2043225346,161762.53836263268,385732.12732094247,829661.8700061098,12.227604067386817,230.4123394368412,1380.2999999999997,1610.712339436841,1436.0885156298555,488.41232345894224,280.0,667.6761921709134,282167.2043225346,161762.53836263268,385732.12732094247,829661.8700061098,34.00990385642969,19.497405414261284,46.49269072930902,89.15859650842187,14.304996230264251,85.69500376973575,685.0,3.4440781365397983,2450.2454545454543,39.332407834972244,4.11235288605411,49.0,0.0,65.0,9.0
