di,luas_cea_ha,n_ruas,tot_air_jam,tot_hidraulik_jam,tot_gangguan_jam,tot_air_jam_cepat,tot_air_jam_lambat,ruas_masuk,simpul_masuk,tot_air_jam_ujung,ruas_ujung,lama_terisi_jam
DI Cibuyutan Selatan,266,12,4.295790564210112,3.112111635928218,0.6236948466042541,2.7759973786161334,7.013915017218198,SI Copong Kiri,Talang,20.559710504015996,CN.3.Ki,16.263919939805884
DI Cibuyutan Utara,453,27,11.389608680559046,8.303337200877136,1.833665314206854,7.429037978326835,17.5616995120608,SS Ciduga,BCP.3,27.382704527472484,SB.4.Ki,15.993095846913437
DI Ciojar,309,5,2.682431162740351,1.94330359205344,0.3978419781964113,1.7334229322361419,4.3797163604176115,SI Copong,Bendung Copong,12.733305356462632,SI Copong Kanan,10.05087419372228
DI Cipacing,280,2,25.280541318882403,18.406733884857303,3.915433738310066,16.458527595110297,39.44665555635484,SS Cikarag,B.CP.Ka.21,26.057378695771042,CA.2.Ki,0.7768373768886399
DI Cipancar,516,2,19.604063069648344,14.314639566873101,3.14408242904891,12.817136340873596,29.77575592254884,SS Kawung Luwuk,BCD.20,22.33661507311932,Suplesi Cicukanggantung,2.7325520034709747
DI Citameng I,616,5,12.733305356462632,9.224720612275291,1.8452643896304768,8.228432406633997,20.790194569213153,SI Copong Kanan,Talang,15.075194929419784,SS Copong Kanan,2.341889572957152
DI Citameng II,339,6,15.075194929419784,10.938505322007886,2.25251498671942,9.764545552514488,24.2723456648751,SS Copong Kanan,BCP.3,23.190517592252032,TB.1.Ki,8.115322662832249
DI Citameng III,124,8,12.733305356462632,9.224720612275291,1.8452643896304768,8.228432406633997,20.790194569213153,SI Copong Kanan,Talang,23.190517592252032,TB.1.Ki,10.4572122357894
DI Citameng IV,311,13,18.240421461427466,13.254804474639814,2.759727705790542,11.840709237451685,28.97871489924142,SS Cipanas Kiara,B.CP.Ka.17,26.61179808064656,SS Cibunar,8.371376619219095
DI Citikey,361,18,19.604063069648344,14.314639566873101,3.14408242904891,12.817136340873596,29.77575592254884,SS Kawung Luwuk,BCD.20,31.91395871744457,CTL.9.Ka,12.309895647796225
DI Parigi,383,23,14.879735607299724,10.874475537428856,2.4386977515176014,9.740836711535291,22.714398973888017,C.1.M,BCD.5,28.90477950534537,BG.2.Ka,14.025043898045647
