ruas,jenis,hulu,terhubung,tingkat,panjang_m,debit_m3_detik,luas_layanan_ha,t_air_menit_cepat,t_hidraulik_menit_cepat,t_air_menit_tengah,t_hidraulik_menit_tengah,di_bawah_v_min,v_operasi_m_detik,t_air_menit_giliran,n,S,bh,m,h_m,b_m,A_m2,v_m_detik,beta,froude,t_air_menit,t_hidraulik_menit,t_gangguan_menit,t_air_menit_lambat,t_hidraulik_menit_lambat,kum_t_air_menit,kum_t_hidraulik_menit,kum_t_gangguan_menit,kum_t_air_menit_giliran,kum_t_air_menit_cepat,kum_t_air_menit_lambat,kum_t_hidraulik_menit_cepat,kum_t_hidraulik_menit_lambat,simpul_hulu,node_a,node_b,t_air_jam_cepat,t_hidraulik_jam_cepat,t_air_jam_tengah,t_hidraulik_jam_tengah,t_air_jam_giliran,t_air_jam,t_hidraulik_jam,t_gangguan_jam,t_air_jam_lambat,t_hidraulik_jam_lambat,kum_t_air_jam,kum_t_hidraulik_jam,kum_t_gangguan_jam,kum_t_air_jam_giliran,kum_t_air_jam_cepat,kum_t_air_jam_lambat,kum_t_hidraulik_jam_cepat,kum_t_hidraulik_jam_lambat
"CP.Ka.8,Ki",Tersier,SI Copong Kanan,True,2.0,480.6415898718397,0.022399485237685722,105.81077817991364,18.918984310610906,14.136443905149426,28.176003472955117,20.950834753311184,False,0.2843090636406177,28.176003472955117,0.03,0.0015,1.2,1.0,0.18923973274703204,0.22708767929643844,0.07878568819036984,0.2843090636406177,1.3448630474497933,0.25165970724403725,28.176003472955117,20.950834753311184,5.665089915631812,41.1806976665811,30.38048876789339,792.174324860713,574.4340714898286,116.38095329346042,792.174324860713,512.6249287086507,1288.5923718193703,375.42832904955986,925.3854108650143,B.CP.Ka.8,BCP.3,B.CP.Ka.8,0.31531640517684845,0.2356073984191571,0.4696000578825853,0.3491805792218531,0.4696000578825853,0.4696000578825853,0.3491805792218531,0.0944181652605302,0.686344961109685,0.5063414794648898,13.202905414345217,9.573901191497145,1.939682554891007,13.202905414345217,8.543748811810845,21.47653953032284,6.257138817492664,15.423090181083571
SI Copong Kanan,Primer,SI Copong,True,1.0,13588.421421776266,0.7327409541494965,2473.2020697399025,389.7005684638713,285.1811986866148,603.0524516233368,436.88502121331106,False,0.3755455926815334,603.0524516233368,0.025,0.00025,2.5,1.5,0.6984155534753935,1.7460388836884837,1.951137141345361,0.3755455926815334,1.3803459087440164,0.16823740610877258,603.0524516233368,436.88502121331106,86.84534468604393,984.6286925277325,706.4608617269955,763.9983213877579,553.4832367365175,110.71586337782861,763.9983213877579,493.70594439803983,1247.4116741527891,361.29188514441046,895.0049220971208,BCP.3,Talang,BCP.3,6.495009474397856,4.753019978110246,10.05087419372228,7.281417020221851,10.05087419372228,10.05087419372228,7.281417020221851,1.4474224114340655,16.410478208795542,11.774347695449926,12.733305356462632,9.224720612275291,1.8452643896304768,12.733305356462632,8.228432406633997,20.790194569213153,6.021531419073508,14.91674870161868
CP.Ka.12 dan Suplesi Situ Sunarsa,Tersier,,False,,2100.1062116330654,0.0045241613773872235,21.37170995356237,123.30841531117473,92.13721347086907,183.6429631216319,136.55142318752758,True,0.25,140.0070807755377,0.03,0.0015,1.2,1.0,0.10387232311560449,0.12464678773872538,0.02373681092075159,0.19059684944585525,1.344863047450139,0.2277167307522771,183.6429631216319,136.55142318752758,34.06207160025822,268.4037624486373,198.0111545547549,,,,,,,,,,Bendung Copong,CP.Ka.12 dan Suplesi Situ Sunarsa,2.0551402551862457,1.5356202245144845,3.0607160520271983,2.2758570531254594,2.3334513462589617,3.0607160520271983,2.2758570531254594,0.567701193337637,4.473396040810622,3.3001859092459154,,,,,,,,
CP.Ka.9.Ki,Tersier,SI Copong Kanan,True,2.0,249.1178547801445,0.008345490929803778,39.422463516718906,12.550986487880088,9.378215739670157,18.692157732441345,13.898930279851452,True,0.25,16.607856985342966,0.03,0.0015,1.2,1.0,0.1306825259654413,0.15681903115852955,0.037571429703958124,0.22212332603687387,1.344863047448938,0.23659989784163657,18.692157732441345,13.898930279851452,3.5763892732439384,27.319562799407205,20.154628692579557,782.6904791201993,567.382167016369,114.29225265107254,780.6061783731009,506.2569308859199,1274.7312369521962,370.6701008840806,915.1595507897003,B.CP.Ka.9,BCP.3,B.CP.Ka.9,0.2091831081313348,0.15630359566116928,0.31153596220735574,0.2316488379975242,0.27679761642238276,0.31153596220735574,0.2316488379975242,0.05960648788739897,0.4553260466567867,0.3359104782096593,13.044841318669988,9.456369450272815,1.9048708775178758,13.010102972885015,8.437615514765332,21.24552061586994,6.177835014734677,15.252659179828338
CP.Ka.10.Ki,Tersier,SI Copong Kanan,True,2.0,548.9792772467366,0.01696541155142723,80.14127911202307,23.16332124138207,17.307852578648056,34.497085521462736,25.651002596038566,False,0.2652297862985088,34.497085521462736,0.03,0.0015,1.2,1.0,0.1705138701068264,0.20461664412819167,0.06396495577737686,0.2652297862985088,1.3448630474502514,0.24732703130598332,34.497085521462736,25.651002596038566,6.8402764764896595,50.419288548183665,37.19613110552557,798.4954069092206,579.134239332556,117.55613985431827,798.4954069092206,516.8692656394219,1297.8309627009728,378.5997377230585,932.2010532026463,B.CP.Ka.10,BCP.3,B.CP.Ka.10,0.38605535402303454,0.2884642096441343,0.5749514253577123,0.4275167099339761,0.5749514253577123,0.5749514253577123,0.4275167099339761,0.11400460794149432,0.840321475803061,0.6199355184254263,13.308256781820344,9.652237322209267,1.9592689975719713,13.308256781820344,8.614487760657031,21.630516045016215,6.309995628717642,15.536684220044105
CP.Ka.12.Ki,Tersier,SI Copong Kanan,True,2.0,539.5527518896938,0.003135596708296401,14.811944303301184,34.72080941431402,25.943716986520336,51.70962830667598,38.44973538734972,True,0.25,35.97018345931292,0.03,0.0015,1.2,1.0,0.09053012849024603,0.10863615418829523,0.018030549161813,0.1739046703545391,1.344863047449967,0.22255831375866258,51.70962830667598,38.44973538734972,9.413381391713978,75.57631698166351,55.755380051369706,815.7079496944339,591.9329721238672,120.1292447695426,799.9685048470708,528.4267538123538,1322.9879911344526,387.2356021309308,950.7603021484905,B.CP.Ka.12a,BCP.3,B.CP.Ka.12a,0.5786801569052337,0.43239528310867226,0.8618271384445997,0.6408289231224953,0.5995030576552154,0.8618271384445997,0.6408289231224953,0.15688968986189963,1.2596052830277251,0.929256334189495,13.595132494907231,9.865549535397786,2.0021540794923767,13.332808414117846,8.80711256353923,22.049799852240877,6.453926702182179,15.846005035808174
CP.Ka.11.Ki,Tersier,SI Copong Kanan,True,2.0,489.5414746406343,0.004956640060926405,23.414196194204354,28.094973387324774,20.992829677641875,41.84178467180531,31.11230154710684,True,0.25,32.63609830937562,0.03,0.0015,1.2,1.0,0.1074900661899864,0.12898807942798368,0.025419051524960847,0.19499704999059914,1.3448630474493526,0.22901979474148643,41.84178467180531,31.11230154710684,7.796942716589802,61.15394917713236,45.11547815753473,805.8401060595631,584.5955382836244,118.51280609441841,796.6344196971335,521.8009177853646,1308.5656233299214,382.2847148220523,940.1204002546556,B.CP.Ka.11,BCP.3,B.CP.Ka.11,0.4682495564554129,0.3498804946273646,0.6973630778634218,0.5185383591184473,0.5439349718229269,0.6973630778634218,0.5185383591184473,0.1299490452764967,1.0192324862855393,0.7519246359589122,13.430668434326053,9.74325897139374,1.9752134349069734,13.277240328285558,8.69668196308941,21.80942705549869,6.371411913700872,15.668673337577593
CP.Ka.12.Ki (2),Tersier,SI Copong Kanan,True,38.0,626.3201866440619,0.001387570758478381,6.554612312575616,49.41611553423581,36.92418862400519,73.5953167492013,54.723279733760556,True,0.25,41.754679109604126,0.03,0.0015,1.2,1.0,0.06668355412201368,0.08002026494641641,0.009782732058755761,0.14183877777133583,1.3448630474499497,0.21150213508132737,73.5953167492013,54.723279733760556,12.84815451307293,107.56339136720263,79.3534007055027,837.5936381369592,608.2065164702781,123.56401789090154,805.753000497362,543.1220599322756,1354.9750655199919,398.21607376841564,974.3583228026235,B.CP.Ka.12,BCP.3,B.CP.Ka.12,0.8236019255705967,0.6154031437334199,1.2265886124866883,0.9120546622293426,0.6959113184934022,1.2265886124866883,0.9120546622293426,0.2141359085512155,1.792723189453377,1.3225566784250449,13.95989396894932,10.136775274504634,2.0594002981816923,13.429216674956033,9.052034332204594,22.582917758666532,6.636934562806927,16.239305380043724
CP.Ka.15b.Ki,Tersier,,False,,1691.6883571958645,0.015502427134866653,73.23275557524389,73.00564035399013,54.550504545080614,108.7271463619558,80.84625908057423,False,0.2593170785463557,108.7271463619558,0.03,0.0015,1.2,1.0,0.16484392581459317,0.1978127109775118,0.059781743731527615,0.2593170785463557,1.3448630474490417,0.24593695455590162,108.7271463619558,80.84625908057423,21.46177874894507,158.91039148896786,117.23393816246714,,,,,,,,,,Bendung Copong,CP.Ka.15b.Ki,1.216760672566502,0.9091750757513436,1.8121191060325967,1.3474376513429038,1.8121191060325967,1.8121191060325967,1.3474376513429038,0.3576963124824178,2.648506524816131,1.9538989693744524,,,,,,,,
CP.Ka.15a.Ki,Tersier,,False,,813.3319736850584,0.012227604067386816,57.77233512951167,37.24504322665516,27.829848350956578,55.468964405030114,41.24506544381718,True,0.25,54.22213157900389,0.03,0.0015,1.2,1.0,0.15080858834451494,0.18097030601341793,0.050035106700623805,0.24438049349127042,1.344863047449599,0.24231630901747056,55.468964405030114,41.24506544381718,10.819333709205402,81.07078263368481,59.808845910039885,,,,,,,,,,Bendung Copong,CP.Ka.15a.Ki,0.6207507204442527,0.4638308058492763,0.9244827400838352,0.687417757396953,0.9037021929833983,0.9244827400838352,0.687417757396953,0.1803222284867567,1.3511797105614136,0.9968140985006647,,,,,,,,
