zona,kode,ha,lat,lon,elev,eto_rata,hujan_tahunan_mm
SI Copong,R128,365.7647386478997,-7.172781129146928,107.93019578808888,688.0,3.4511695815177803,2450.2454545454543
SS Situ Bagendit,R167,88.20409114690118,-7.158297696553223,107.96599708523313,678.0,3.4475493140907822,2450.2454545454543
SI Copong Kanan,R001,438.0998648916499,-7.157392176397455,107.9832673267008,682.0,3.4443790702566353,2450.2454545454543
SS Ranca Ucing,R156,69.25537608853591,-7.149908401118036,107.96612847025344,673.0,3.456168621062794,2450.2454545454543
CP.1-1.Ka,R171,149.98504074749007,-7.17899712291858,107.9294920406879,690.0,3.4476448046484998,2450.2454545454543
CP.Ka.12 dan Suplesi Situ Sunarsa,R002,43.046276169647626,-7.149459957520264,107.98118260024548,666.0,3.4589418291794307,2450.2454545454543
SS Cinanti,R169,186.8419187106404,-7.143413559903914,107.94719917970916,639.0,3.472911796144928,2450.2454545454543
SS Parigi,R159,235.19441412158133,-7.13151184807978,107.96083705002661,645.0,3.46592154238302,2450.2454545454543
CP.Ka.15a.Ki,R009,57.77233512951162,-7.151626470169219,107.9941946913573,685.0,3.4440781365397983,2450.2454545454543
CP.Ka.15b.Ki,R008,73.2327555752438,-7.143690888040135,107.98952024518319,669.0,3.4556728504754646,2450.2454545454543
CP.Ka.17a.Ki,R010,49.59476100117669,-7.1463731238998545,108.00301648560786,684.0,3.448720592351116,2450.2454545454543
Suplesi Cipari,R100,72.09240656576684,-7.143795923912335,107.98117985372443,672.0,3.456062894394416,2450.2454545454543
SS Copong Kanan,R164,171.75112048523596,-7.137123562568227,108.00136036912625,682.0,3.44847772860643,2450.2454545454543
SI Copong Kiri,R129,46.53409328844946,-7.155146436291292,107.93163389569295,674.0,3.4576232292725995,2450.2454545454543
SS Ciduga,R133,186.5859247495962,-7.125376839715354,107.94029795806863,634.0,3.476017790438906,2450.2454545454543
Suplesi Cibuyutan Selatan,R132,9.97129115953868,-7.133413040027528,107.93128434753055,648.0,3.4696337402519206,2450.2454545454543
SS Cipanas Kiara,R015,140.75677045421017,-7.124368017356483,107.98630805489644,672.0,3.4671214920593423,2402.2727272727275
SS Tegal Buah,R084,349.9160072209487,-7.107349624250772,107.99592452906933,645.0,3.5150161069316486,2564.2272727272725
SS Cikukuk,R130,122.88667734959671,-7.123224228740599,107.93882838533419,637.0,3.4839397313562173,2402.2727272727275
SS Lewo,R054,507.48209383648856,-7.052662020493123,108.02303365197729,531.0,3.568834364780167,2564.2272727272725
SS Sindangsari,R074,97.20222730984834,-7.062459787447043,108.03890256118613,588.0,3.6020522927598466,3057.4636363636364
Ruas tanpa nama R057,R057,3.0032794096917006,-7.058159651965105,108.01343879140353,580.0,3.547618885821469,2564.2272727272725
Ruas tanpa nama R093,R093,2.0260552477789115,-7.054573887648698,108.01116963676844,555.0,3.5582369115909143,2564.2272727272725
Ruas tanpa nama R038,R038,3.0600617631010074,-7.053151591329744,108.01300641234093,,,
Ruas tanpa nama R046,R046,1.0798419788492337,-7.051261924648711,108.01308259929482,535.0,3.5693418197860534,2564.2272727272725
SS Cioray,R089,103.86908468855195,-7.050420398541744,108.02928007921552,529.0,3.627240515785811,3057.4636363636364
SS Binuang,R056,113.2575784616755,-7.052924314008722,108.0409054131634,560.0,3.6124420688789067,3057.4636363636364
Ruas tanpa nama R059,R059,6.09100142254713,-7.048098873031281,108.01601565048212,510.0,3.588150929166277,2564.2272727272725
Ruas tanpa nama R055,R055,64.94158122148791,-7.042095905451476,108.01112899416164,502.0,3.650768053004642,3057.4636363636364
SS Leuwigoong,R140,105.30314413944112,-7.097940259340516,107.9619588793686,617.0,3.567865243274294,2307.909090909091
SS Sumur Kondang,R028,76.30059457592955,-7.10582275183372,107.97752463800636,643.0,3.480570160965939,2402.2727272727275
SS Cikondang,R018,90.4304832790811,-7.112804166129208,107.97490790734366,633.0,3.4844117065267404,2402.2727272727275
Ruas tanpa nama R049,R049,90.69894592528055,-7.102631442227446,107.9918275805176,626.0,3.5260743482706998,2564.2272727272725
SS Kresek,R090,74.77258029614497,-7.088940952063744,107.9822342878244,595.0,3.5789807567969807,2307.909090909091
SS Citikey Kanan,R158,76.68139002731058,-7.08197457077823,107.9719702752172,587.0,3.5825338729522938,2307.909090909091
SS Citambal,R040,59.75846452761976,-7.0906193150753145,107.99253944675388,598.0,3.536243128533142,2564.2272727272725
SS Bandrek,R050,131.07655023199936,-7.078964202370945,107.99294019045114,569.0,3.5508019851533055,2564.2272727272725
Ruas tanpa nama R045,R045,39.492728288686976,-7.071605056541596,107.98342162630252,558.0,3.5585674478538625,2564.2272727272725
SS Citikey Kiri,R161,170.41573218672062,-7.068806120758403,107.96993283630971,578.0,3.5899567696444357,2307.909090909091
CTL.6.Ka,R067,5.39965849659815,-7.070040982557098,107.9647904041868,,,
SS Ciseureuh,R139,56.502094897072354,-7.102951410805049,107.95214713363032,641.0,3.5572069623064433,2307.909090909091
CS.6.Ki.a,R097,44.39450313341399,-7.1031437066200365,107.94398256827468,647.0,3.5607772895396286,2307.909090909091
CS.6.Ki.b,R096,141.25523724268086,-7.095546407230345,107.94088367780995,616.0,3.5751913052135995,2307.909090909091
CS.6.Ka,R098,85.76210832591339,-7.0923059939270106,107.9519535394177,603.0,3.575304352817498,2307.909090909091
SS Kawung Luwuk,R155,50.44829901524317,-7.088559287416028,107.96550939413456,597.0,3.578501841659981,2307.909090909091
CTR.3.Ki.b,R027,56.502094897072354,-7.083155217210224,107.96077900132273,601.0,3.5790431614800893,2307.909090909091
CTR.3.Ki.a,R036,9.08069382274377,-7.081574607589321,107.96596602460524,593.0,3.5825521719060585,2307.909090909091
SS Cibunar,R041,42.188163374421734,-7.082236983998033,107.98717605302156,578.0,3.547263075707996,2564.2272727272725
Ruas tanpa nama R037,R037,14.062721124807245,-7.080450051895401,107.99950421362097,576.0,3.5470101546910286,2564.2272727272725
PL.2.Ka,R044,50.22400401716873,-7.064300491548092,107.98842438704588,536.0,3.564918640960611,2564.2272727272725
SS Cikarag,R034,76.34048610609648,-7.060330918763956,107.99266746132683,527.0,3.573013677204157,2564.2272727272725
PL.5.Ka,R043,69.30912554369286,-7.0588402485840485,107.98265935082566,527.0,3.5730191509569713,2564.2272727272725
Ruas tanpa nama R047,R047,115.51520923948809,-7.050500358452245,107.98698863799268,498.0,3.5830019996020352,2564.2272727272725
