kecamatan,kabupaten,rezim,luas_sawah_ha,luas_wilayah_ha,lat,lon,elevasi_m,eto_rata_mm_hari,hujan_tahunan_mm,bulan_tanam,bulan_tanam_optimum,n_musim,hujan_musim_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_mm,irigasi_mm_andalan,nfr_mm_hari,nfr_mm_hari_andalan,dr_l_detik_ha,dr_l_detik_ha_andalan,debit_l_detik,debit_l_detik_andalan,volume_m3,volume_m3_andalan
Karangpawitan,Garut,FL,1843.5234055515684,5222.462973495325,-7.2215,107.949525,887.0,3.2130834870510845,2650.354545454545,Jan,Jan,9,1415.1,466.17662876074496,280.0,704.1774401672546,232.4824562163663,292.99518627046933,1.660588972974045,2.0928227590747808,0.29568891968911054,0.3726536251913783,545.1094442091332,686.9956802039475,4285868.49414989,5401434.836035518
Karangpawitan,Garut,SRI,1843.5234055515684,5222.462973495325,-7.2215,107.949525,887.0,3.2130834870510845,2650.354545454545,Jan,Feb,9,1415.1,450.7229419188028,192.0,694.0178384580213,132.4824562163663,181.10195962481924,0.9463032586883308,1.293585425891566,0.16850129250148338,0.23033928523710218,310.6360765921756,424.63586355261674,2442345.0885983217,3338657.013596094
Balubur Limbangan,Garut,FL,1648.5705194899742,7949.832956820796,-7.00395,107.94620416666667,912.0,3.4575514619491647,2359.9090909090905,Jan,Jan,9,1275.4,477.459106892821,280.0,528.1452229461457,264.02196836407836,286.9963406208442,1.8858712026005597,2.0499738615774583,0.3358032768163389,0.36502383575097186,553.5953825075475,601.7675345302027,4352588.335427342,4731337.063490267
Balubur Limbangan,Garut,SRI,1648.5705194899742,7949.832956820796,-7.00395,107.94620416666667,912.0,3.4575514619491647,2359.9090909090905,Jan,Jan,9,1275.4,461.37292933341644,192.0,508.2881233652205,139.05177890480905,179.49964404891662,0.9932269921772076,1.2821403146351187,0.17685665815121215,0.22830133807605388,291.56067280360463,376.3708555122964,2292366.633851061,2959178.2143798796
Malangbong,Garut,FL,1605.7234325595282,8841.910230612608,-7.05295,108.08657884615384,587.0,3.6019687279302164,3057.4636363636364,Jan,Jan,9,2031.0000000000002,479.29158052202365,280.0,1208.2573686576561,207.55526438102822,260.19837836038784,1.4825376027216302,1.8585598454313417,0.2639846158692361,0.33094014341726163,423.8862835364583,531.3983430597079,3332763.5156770498,4178066.3324726485
Malangbong,Garut,SRI,1605.7234325595282,8841.910230612608,-7.05295,108.08657884615384,587.0,3.6019687279302164,3057.4636363636364,Jan,Feb,9,2031.0000000000002,463.1799420149215,192.0,1208.367505133831,107.5552643810282,148.10891530131076,0.7682518884359156,1.057920823580791,0.1367969886816089,0.18837621502506963,219.65813022963997,302.4801026026266,1727040.0831175214,2378219.5587028917
Kadungora,Garut,FL,1435.4238513178354,3839.1553201098473,-7.0768,107.89330416666667,711.0,3.568970069924204,2264.336363636363,Jan,Jan,9,1253.6,496.96909226163814,280.0,519.0862816764727,234.77840505679274,308.8413271911131,1.6769886075485196,2.2060094799365224,0.2986090825406908,0.3928079558291528,428.6305992990438,563.8459087845687,3370065.2239288017,4433182.073227793
Kadungora,Garut,SRI,1435.4238513178354,3839.1553201098473,-7.0768,107.89330416666667,711.0,3.568970069924204,2264.336363636363,Jan,Jan,9,1253.6,480.3198413938946,192.0,497.8275252126962,122.55693579738045,187.43461983936368,0.8754066842670032,1.338818713138312,0.15587725859455184,0.23839364550183617,223.74993486465777,342.1959247559445,1759211.4878798854,2690481.2388011375
Banyuresmi,Garut,FL,1373.1386998096184,4735.8499425063155,-7.15135,107.90764166666666,757.0,3.4884381758213254,2485.3999999999996,Jan,Jan,9,1378.1,493.50431399483745,280.0,681.4757304500265,227.02240065359308,305.58209446145565,1.6215885760970934,2.182729246153255,0.2887444045756932,0.3886626150557789,396.48611627636984,533.6876779022984,3117332.440611331,4196065.998739032
Banyuresmi,Garut,SRI,1373.1386998096184,4735.8499425063155,-7.15135,107.90764166666666,757.0,3.4884381758213254,2485.3999999999996,Jan,Jan,9,1378.1,477.19636649640256,192.0,666.1111590767937,127.02240065359305,187.26465433743726,0.907302861811379,1.3376046738388376,0.16155677738806604,0.2381774704128984,221.83986324808095,327.0507020467112,1744193.740801712,2571403.439772062
