petak,hamparan,rezim,luas_m2,luas_ha,tanam,hari_musim,hujan_mm,irigasi_mm,irigasi_m3,irigasi_mm_andalan,irigasi_m3_andalan,irigasi_pl_mm,wlr_mm,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,debit_l_detik_andalan,isi_mm,isi_m3,Q_isi_l_detik,diameter_cm,etc_mm,etc_m3,perkolasi_mm,perkolasi_m3,limpasan_mm,limpasan_m3,masuk_mm,keluar_mm,water_loss_m3,etc_pct,perkolasi_pct,limpasan_pct,loss_pct_masuk,irigasi_pct_masuk,hujan_pct_masuk,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas
SWH-00,H1,FL,17554.735579,1.755474,Jan-1,140,1380.3,230.384205,4044.333801,283.694812,4980.187416,114.475356,100.0,1.645601,0.29302,0.514389,0.633418,81.448133,1429.800438,66.194465,55.398155,488.065199,8567.855518,280.0,4915.325962,667.713901,11721.540977,1599.13835,1403.994011,24646.743613,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-02,H1,FL,2976.367394,0.297637,Jan-1,140,1380.3,230.384205,685.708036,283.694812,844.379989,114.475356,100.0,1.645601,0.29302,0.087214,0.107395,81.448133,242.419567,11.223128,22.810848,488.065199,1452.661345,280.0,833.38287,667.713901,1987.361884,1599.13835,1403.994011,4178.801995,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-03,H1,FL,753.96363,0.075396,Jan-1,140,1380.3,230.384205,173.701312,283.694812,213.895571,114.475356,100.0,1.645601,0.29302,0.022093,0.027205,81.448133,61.40893,2.843006,11.480832,488.065199,367.983409,280.0,211.109816,667.713901,503.431997,1599.13835,1403.994011,1058.560421,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-04,H1,FL,476.165086,0.047617,Jan-1,140,1380.3,230.384205,109.700915,283.694812,135.085565,114.475356,100.0,1.645601,0.29302,0.013953,0.017181,81.448133,38.782757,1.795498,9.123825,488.065199,232.399608,280.0,133.326224,667.713901,317.942047,1599.13835,1403.994011,668.532929,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-06,H1,FL,1113.428737,0.111343,Jan-1,140,1380.3,230.384205,256.516394,283.694812,315.873957,114.475356,100.0,1.645601,0.29302,0.032626,0.040175,81.448133,90.686692,4.198458,13.951772,488.065199,543.425818,280.0,311.760046,667.713901,743.451846,1599.13835,1403.994011,1563.247278,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-07,H1,FL,1653.832512,0.165383,Jan-1,140,1380.3,230.384205,381.016889,283.694812,469.183704,114.475356,100.0,1.645601,0.29302,0.048461,0.059674,81.448133,134.70157,6.236184,17.003719,488.065199,807.178095,280.0,463.073103,667.713901,1104.286958,1599.13835,1403.994011,2321.970942,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-08,H1,FL,1012.361547,0.101236,Jan-1,140,1380.3,230.384205,233.23211,283.694812,287.201719,114.475356,100.0,1.645601,0.29302,0.029664,0.036528,81.448133,82.454958,3.817359,13.303502,488.065199,494.09844,280.0,283.461233,667.713901,675.967878,1599.13835,1403.994011,1421.349549,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-09,H1,FL,831.410643,0.083141,Jan-1,140,1380.3,230.384205,191.54388,283.694812,235.866886,114.475356,100.0,1.645601,0.29302,0.024362,0.029999,81.448133,67.716845,3.135039,12.056075,488.065199,405.782601,280.0,232.79498,667.713901,555.144444,1599.13835,1403.994011,1167.295563,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-10,H1,FL,836.530913,0.083653,Jan-1,140,1380.3,230.384205,192.723509,283.694812,237.31948,114.475356,100.0,1.645601,0.29302,0.024512,0.030184,81.448133,68.133881,3.154346,12.093142,488.065199,408.281627,280.0,234.228656,667.713901,558.563319,1599.13835,1403.994011,1174.484392,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-11,H1,FL,722.350857,0.072235,Jan-1,140,1380.3,230.384205,166.418228,283.694812,204.927191,114.475356,100.0,1.645601,0.29302,0.021166,0.026064,81.448133,58.834129,2.723802,11.237566,488.065199,352.554315,280.0,202.25824,667.713901,482.323709,1599.13835,1403.994011,1014.176277,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-12,H1,FL,689.258943,0.068926,Jan-1,140,1380.3,230.384205,158.794374,283.694812,195.539186,114.475356,100.0,1.645601,0.29302,0.020197,0.02487,81.448133,56.138854,2.599021,10.977144,488.065199,336.403303,280.0,192.992504,667.713901,460.227778,1599.13835,1403.994011,967.715428,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-13,H1,FL,1734.531982,0.173453,Jan-1,140,1380.3,230.384205,399.608772,283.694812,492.077725,114.475356,100.0,1.645601,0.29302,0.050825,0.062586,81.448133,141.274392,6.540481,17.41363,488.065199,846.564697,280.0,485.668955,667.713901,1158.171116,1599.13835,1403.994011,2435.272514,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-15,H1,FL,1743.123251,0.174312,Jan-1,140,1380.3,230.384205,401.588064,283.694812,494.515024,114.475356,100.0,1.645601,0.29302,0.051077,0.062896,81.448133,141.974134,6.572877,17.456702,488.065199,850.757797,280.0,488.07451,667.713901,1163.907626,1599.13835,1403.994011,2447.334604,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-19,H2,FL,1353.893162,0.135389,Jan-1,140,1380.3,230.384205,311.9156,283.694812,384.092467,114.475356,100.0,1.645601,0.29302,0.039672,0.048852,81.448133,110.27207,5.105188,15.384747,488.065199,660.788136,280.0,379.090085,667.713901,904.013285,1599.13835,1403.994011,1900.857891,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
SWH-20,H2,FL,1741.484438,0.174148,Jan-1,140,1380.3,230.384205,401.210508,283.694812,494.050101,114.475356,100.0,1.645601,0.29302,0.051029,0.062837,81.448133,141.840656,6.566697,17.448494,488.065199,849.957949,280.0,487.615643,667.713901,1162.813368,1599.13835,1403.994011,2445.033721,34.762627,19.943105,47.558173,87.796907,14.406771,86.315233,39.338476,4.124265,49.0,0.0,65.0
