rezim,tahun_tanam,hari_ke,tanggal,tahap,eto,hujan,irigasi,etc,perkolasi,limpasan,wlr,penjenuhan,tma
FL,2017,-30,2016-12-02,siap lahan,2.0799,11.5,0.0,2.2879,2.0,0.8397,0.0,6.3724,0.0
FL,2017,-29,2016-12-03,siap lahan,3.7009,1.5,10.2342,4.071,2.0,0.0,0.0,5.6632,0.0
FL,2017,-28,2016-12-04,siap lahan,1.3598,9.3,0.9031,1.4958,2.0,0.0,0.0,6.7073,0.0
FL,2017,-27,2016-12-05,siap lahan,2.6975,26.2,0.0,2.9673,2.0,15.1377,0.0,6.095,0.0
FL,2017,-26,2016-12-06,siap lahan,2.8511,24.1,0.0,3.1362,2.0,12.9364,0.0,6.0274,0.0
FL,2017,-25,2016-12-07,siap lahan,1.7976,14.2,0.0,1.9773,2.0,3.7204,0.0,6.5023,0.0
FL,2017,-24,2016-12-08,siap lahan,3.4603,27.7,0.0,3.8063,2.0,16.1291,0.0,5.7646,0.0
FL,2017,-23,2016-12-09,siap lahan,2.9146,31.2,0.0,3.206,2.0,19.9944,0.0,5.9996,0.0
FL,2017,-22,2016-12-10,siap lahan,3.0516,7.1,4.1967,3.3567,2.0,0.0,0.0,5.9399,0.0
FL,2017,-21,2016-12-11,siap lahan,2.9288,34.1,0.0,3.2217,2.0,22.8849,0.0,5.9934,0.0
FL,2017,-20,2016-12-12,siap lahan,2.4294,26.1,0.0,2.6723,2.0,15.2134,0.0,6.2144,0.0
FL,2017,-19,2016-12-13,siap lahan,2.1802,19.7,0.0,2.3982,2.0,8.975,0.0,6.3268,0.0
FL,2017,-18,2016-12-14,siap lahan,2.8509,21.1,0.0,3.136,2.0,9.9366,0.0,6.0275,0.0
FL,2017,-17,2016-12-15,siap lahan,2.2996,21.9,0.0,2.5296,2.0,11.0977,0.0,6.2727,0.0
FL,2017,-16,2016-12-16,siap lahan,2.8922,19.3,0.0,3.1814,2.0,8.1092,0.0,6.0094,0.0
FL,2017,-15,2016-12-17,siap lahan,3.2516,7.3,4.1304,3.5767,2.0,0.0,0.0,5.8537,0.0
FL,2017,-14,2016-12-18,siap lahan,3.4484,18.8,0.0,3.7932,2.0,7.2371,0.0,5.7697,0.0
FL,2017,-13,2016-12-19,siap lahan,2.9753,20.8,0.0,3.2729,2.0,9.554,0.0,5.9731,0.0
FL,2017,-12,2016-12-20,siap lahan,4.5624,0.4,11.9295,5.0186,2.0,0.0,0.0,5.3109,0.0
FL,2017,-11,2016-12-21,siap lahan,4.607,0.0,12.3608,5.0677,2.0,0.0,0.0,5.2931,0.0
FL,2017,-10,2016-12-22,siap lahan,4.1768,0.8,11.261,4.5945,2.0,0.0,0.0,5.4665,0.0
FL,2017,-9,2016-12-23,siap lahan,4.5589,0.1,12.2271,5.0148,2.0,0.0,0.0,5.3123,0.0
FL,2017,-8,2016-12-24,siap lahan,4.3091,1.0,11.1528,4.74,2.0,0.0,0.0,5.4127,0.0
FL,2017,-7,2016-12-25,siap lahan,3.6276,2.7,8.9843,3.9904,2.0,0.0,0.0,5.6939,0.0
FL,2017,-6,2016-12-26,siap lahan,3.1395,31.8,0.0,3.4535,2.0,20.4446,0.0,5.9019,0.0
FL,2017,-5,2016-12-27,siap lahan,2.5476,5.2,5.7639,2.8024,2.0,0.0,0.0,6.1615,0.0
FL,2017,-4,2016-12-28,siap lahan,3.07,10.9,0.409,3.377,2.0,0.0,0.0,5.932,0.0
FL,2017,-3,2016-12-29,siap lahan,3.1132,1.1,10.2378,3.4246,2.0,0.0,0.0,5.9133,0.0
FL,2017,-2,2016-12-30,siap lahan,2.6077,24.4,0.0,2.8685,2.0,13.3967,0.0,6.1348,0.0
FL,2017,-1,2016-12-31,siap lahan,2.9958,10.0,1.2596,3.2954,2.0,0.0,0.0,5.9642,0.0
FL,2017,0,2017-01-01,awal,4.3752,5.2,14.8,4.4189,2.0,0.0,0.0,0.0,13.5811
FL,2017,1,2017-01-02,awal,3.1833,0.5,0.0,3.2151,2.0,0.0,0.0,0.0,8.8659
FL,2017,2,2017-01-03,awal,3.1495,0.6,10.5341,3.181,2.0,0.0,0.0,0.0,14.819
FL,2017,3,2017-01-04,awal,3.3009,3.0,0.0,3.3339,2.0,0.0,0.0,0.0,12.4851
FL,2017,4,2017-01-05,awal,3.2209,10.3,0.0,3.2531,2.0,0.0,0.0,0.0,17.532
