hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,penjenuhan_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas,rezim,tahun_tanam,galat_neraca_mm
2166.1,227.3001,127.3001,467.8651,280.0,1432.697,100.0,177.588,2393.4001,2180.5622,42.8499,27.6179,47,0,93,FL,2016,0.0
1380.3,230.3842,105.0501,472.8338,280.0,667.7139,100.0,178.0092,1610.6842,1420.5477,33.5448,1.9428,46,0,61,FL,2017,-0.0
986.0,390.2431,223.1934,488.0652,280.0,427.1688,100.0,176.3673,1376.2431,1195.234,32.4012,-5.5946,60,8,44,FL,2018,-0.0
1552.1,252.2735,152.2735,486.4107,280.0,825.5315,100.0,175.676,1804.3735,1591.9422,41.4579,7.6998,49,0,74,FL,2019,0.0
1786.4,214.4754,114.4754,493.6418,280.0,1017.9946,100.0,171.6725,2000.8754,1791.6364,41.8404,16.4801,49,0,88,FL,2020,0.0
1395.0,204.1383,88.8383,450.0397,280.0,673.9543,100.0,180.7966,1599.1383,1403.994,39.3385,12.9581,44,0,70,FL,2021,-0.0
1256.6,240.3122,111.1365,504.291,280.0,496.6379,100.0,175.9833,1496.9122,1280.9289,39.688,4.1243,50,0,65,FL,2022,-0.0
1259.1,206.727,95.327,489.3541,280.0,490.2699,100.0,177.636,1465.827,1259.624,36.0685,3.5462,49,0,56,FL,2023,-0.0
1076.1,330.8267,230.8267,554.2854,280.0,399.4146,100.0,164.6133,1406.9267,1233.7,33.6947,2.4282,54,0,43,FL,2024,-0.0
2166.1,127.3001,127.3001,452.2533,192.0,1444.637,0.0,177.588,2293.4001,2088.8903,33.1035,11.9984,17,0,97,SRI,2016,0.0
1380.3,118.7086,105.0501,456.667,192.0,657.8723,0.0,178.0092,1499.0086,1306.5392,26.0003,-4.2585,15,2,60,SRI,2017,-0.0
986.0,234.2603,223.1934,471.5499,186.72,404.9287,0.0,176.3673,1220.2603,1063.1986,24.401,-22.5238,26,12,43,SRI,2018,0.0
1552.1,152.2735,152.2735,470.0644,192.0,839.046,0.0,175.676,1704.3735,1501.1104,32.5081,8.5265,19,0,74,SRI,2019,0.0
1786.4,114.4754,114.4754,477.5018,192.0,1031.2953,0.0,171.6725,1900.8754,1700.7971,32.6238,18.9526,19,0,88,SRI,2020,0.0
1395.0,88.8383,88.8383,434.7578,192.0,662.2188,0.0,180.7966,1483.8383,1288.9766,30.3101,-0.69,13,1,69,SRI,2021,0.0
1256.6,122.6736,111.1365,487.1427,192.0,494.1476,0.0,175.9833,1379.2736,1173.2903,30.047,-1.9371,19,3,64,SRI,2022,0.0
1259.1,95.327,95.327,473.2017,192.0,488.8468,0.0,177.636,1354.427,1154.0484,26.7338,-1.3952,18,1,47,SRI,2023,-0.0
1076.1,230.8267,230.8267,536.1114,192.0,391.5633,0.0,164.6133,1306.9267,1119.6747,29.379,6.0656,24,0,47,SRI,2024,-0.0
