bulan,bulan_nama,rezim,n_musim,irigasi_median,irigasi_andalan
1,Jan,FL,9,230.38,283.69
1,Jan,SRI,9,122.67,183.69
2,Feb,FL,10,283.81,306.35
2,Feb,SRI,10,144.26,168.88
3,Mar,FL,10,295.56,352.11
3,Mar,SRI,10,180.36,212.05
4,Apr,FL,10,355.24,465.66
4,Apr,SRI,10,231.7,316.73
5,Mei,FL,10,518.12,607.77
5,Mei,SRI,10,366.82,447.46
6,Jun,FL,10,716.52,844.68
6,Jun,SRI,10,552.81,691.72
7,Jul,FL,10,712.07,895.98
7,Jul,SRI,10,566.44,724.09
8,Agu,FL,10,712.14,877.99
8,Agu,SRI,10,554.21,735.73
9,Sep,FL,10,607.93,755.72
9,Sep,SRI,10,478.06,615.85
10,Okt,FL,10,486.8,631.56
10,Okt,SRI,10,344.21,503.49
11,Nov,FL,10,393.22,468.4
11,Nov,SRI,10,287.17,352.2
12,Des,FL,10,265.16,324.66
12,Des,SRI,10,161.44,205.87
