hamparan,x_m,y_m,lon,lat,elev_m,lereng_deg,lereng_persen,arah_hadap_deg,akumulasi_sel,tangkapan_ha
H3,-184.36,636.44,107.9098965,-7.1804395,698.17,1.51,2.6,272.4,25,0.056
H3,-179.62,636.44,107.9099394,-7.1804395,698.42,1.75,3.0,270.6,26,0.058
H3,-174.88,636.44,107.9099823,-7.1804395,698.67,1.85,3.2,268.6,27,0.061
H3,-170.14,636.44,107.9100252,-7.1804395,698.92,1.83,3.2,265.0,947,2.127
H3,-165.4,636.44,107.9100681,-7.1804395,699.1,1.7,3.0,258.7,20,0.045
H3,-160.66,636.44,107.9101111,-7.1804395,699.25,1.53,2.7,248.5,7,0.016
H3,-155.92,636.44,107.910154,-7.1804395,699.39,1.37,2.4,233.6,3,0.007
H3,-151.18,636.44,107.9101969,-7.1804395,699.54,1.29,2.2,214.5,1,0.002
H3,-146.44,636.44,107.9102398,-7.1804395,699.59,1.31,2.3,193.2,2,0.004
H3,-141.7,636.44,107.9102827,-7.1804395,699.59,1.44,2.5,172.5,12,0.027
H3,-136.96,636.44,107.9103256,-7.1804395,699.59,1.69,3.0,154.6,1,0.002
H3,-184.36,631.73,107.9098965,-7.1804821,698.17,1.55,2.7,291.4,24,0.054
H3,-179.62,631.73,107.9099394,-7.1804821,698.42,1.74,3.0,286.3,25,0.056
H3,-174.88,631.73,107.9099823,-7.1804821,698.67,1.77,3.1,282.2,26,0.058
H3,-170.14,631.73,107.9100252,-7.1804821,698.92,1.65,2.9,277.1,27,0.061
H3,-165.4,631.73,107.9100681,-7.1804821,699.06,1.43,2.5,268.8,995,2.235
H3,-160.66,631.73,107.9101111,-7.1804821,699.14,1.19,2.1,254.5,10,0.022
H3,-155.92,631.73,107.910154,-7.1804821,699.23,1.03,1.8,232.9,2,0.004
H3,-151.18,631.73,107.9101969,-7.1804821,699.32,1.03,1.8,207.6,1,0.002
H3,-146.44,631.73,107.9102398,-7.1804821,699.34,1.16,2.0,184.8,3,0.007
H3,-141.7,631.73,107.9102827,-7.1804821,699.34,1.38,2.4,166.1,13,0.029
H3,-136.96,631.73,107.9103256,-7.1804821,699.34,1.66,2.9,150.9,1,0.002
H3,-132.22,631.73,107.9103685,-7.1804821,699.34,2.01,3.5,138.7,2,0.004
H3,-127.48,631.73,107.9104115,-7.1804821,699.18,2.4,4.2,129.5,3,0.007
H3,-184.36,627.02,107.9098965,-7.1805247,698.17,1.73,3.0,307.9,38,0.085
H3,-179.62,627.02,107.9099394,-7.1805247,698.42,1.83,3.2,301.6,39,0.088
H3,-174.88,627.02,107.9099823,-7.1805247,698.67,1.76,3.1,297.2,40,0.09
H3,-170.14,627.02,107.9100252,-7.1805247,698.92,1.53,2.7,292.7,41,0.092
H3,-165.4,627.02,107.9100681,-7.1805247,699.02,1.19,2.1,285.2,42,0.094
H3,-160.66,627.02,107.9101111,-7.1805247,699.04,0.83,1.4,269.0,1048,2.354
H3,-155.92,627.02,107.910154,-7.1805247,699.06,0.62,1.1,235.1,2,0.004
H3,-151.18,627.02,107.9101969,-7.1805247,699.09,0.7,1.2,196.2,1,0.002
H3,-146.44,627.02,107.9102398,-7.1805247,699.09,0.94,1.6,172.3,4,0.009
H3,-141.7,627.02,107.9102827,-7.1805247,699.09,1.22,2.1,156.7,1,0.002
H3,-136.96,627.02,107.9103256,-7.1805247,699.09,1.54,2.7,144.2,14,0.031
