petak,hamparan,jenis,luas_m2,luas_ha,keliling_m,simpul,lat,lon,piksel_sumber,sel_dem,elev_min_m,elev_maks_m,elev_rata_m,beda_tinggi_m,lereng_deg,lereng_persen,kelas_lereng,arah_hadap_deg,arah_hadap,tangkapan_ha,keandalan_terrain
SWH-00,H1,petak,17554.735579,1.755474,556.75009,135,-7.187614,107.910255,19.505262,791,696.761719,702.222656,699.773615,5.460938,2.4319,4.247017,landai 3-8%,111.675342,T,6.941867,kemiringan (hati-hati)
SWH-02,H1,petak,2976.367394,0.297637,217.833622,35,-7.18781,107.909368,3.307075,131,701.0,703.140625,701.678167,2.140625,1.724218,3.010238,landai 3-8%,359.251889,U,6.400446,kemiringan (hati-hati)
SWH-03,H1,petak,753.96363,0.075396,124.074337,25,-7.188029,107.909062,0.837737,35,701.0,703.148438,702.155022,2.148438,2.106077,3.677454,landai 3-8%,327.628704,BL,0.031452,posisi saja
SWH-04,H1,petak,476.165086,0.047617,120.619802,59,-7.188051,107.908941,0.529072,22,701.0,702.730469,701.878196,1.730469,1.586501,2.769675,datar 0-3%,326.771289,BL,0.022466,posisi saja
SWH-06,H1,petak,1113.428737,0.111343,146.155011,73,-7.188041,107.908802,1.237143,47,701.0,702.203125,701.716257,1.203125,1.138203,1.986801,datar 0-3%,31.763777,TL,2.675652,urutan kasar
SWH-07,H1,petak,1653.832512,0.165383,195.362017,91,-7.188149,107.908615,1.837592,78,701.8125,702.855469,702.214393,1.042969,1.820346,3.178172,landai 3-8%,98.96968,T,2.120752,urutan kasar
SWH-08,H1,petak,1012.361547,0.101236,177.711445,58,-7.188151,107.908455,1.124846,40,701.9375,703.710938,702.899707,1.773438,2.706433,4.727134,landai 3-8%,111.510808,T,0.026959,urutan kasar
SWH-09,H1,petak,831.410643,0.083141,137.02635,39,-7.188035,107.908332,0.92379,42,703.480469,704.308594,703.887928,0.828125,2.581388,4.508423,landai 3-8%,102.313729,T,0.022466,posisi saja
SWH-10,H1,petak,836.530913,0.083653,116.336755,30,-7.188417,107.908919,0.929479,37,701.902344,703.234375,702.226985,1.332031,1.485249,2.592829,datar 0-3%,298.839559,BL,0.276327,posisi saja
SWH-11,H1,petak,722.350857,0.072235,132.750766,73,-7.188566,107.908716,0.802612,32,701.878906,702.929688,702.177612,1.050781,2.100791,3.668216,landai 3-8%,339.310525,U,0.222409,posisi saja
SWH-12,H1,petak,689.258943,0.068926,104.7685,37,-7.188631,107.908494,0.765843,29,701.644531,702.714844,702.0,1.070312,2.093828,3.656046,landai 3-8%,357.173056,U,1.790507,posisi saja
SWH-13,H1,petak,1734.531982,0.173453,171.650023,39,-7.188564,107.90822,1.927258,73,701.683594,704.105469,702.791524,2.421875,2.280946,3.983105,landai 3-8%,99.745937,T,1.343442,urutan kasar
SWH-15,H1,petak,1743.123251,0.174312,175.663953,29,-7.188066,107.908123,1.936804,76,703.808594,705.0,704.584858,1.191406,1.707566,2.981148,datar 0-3%,111.032251,T,0.015726,urutan kasar
SWH-18,H2,batas blok,13111.480209,1.311148,473.771198,73,-7.185573,107.912249,14.568311,587,688.0,694.511719,689.853752,6.511719,3.392198,5.92743,landai 3-8%,168.775855,S,7.512493,kemiringan (hati-hati)
SWH-19,H2,petak,1353.893162,0.135389,147.545328,30,-7.185993,107.912068,1.504326,61,688.09375,690.980469,689.220031,2.886719,3.284863,5.739458,landai 3-8%,4.523085,U,5.715246,urutan kasar
SWH-20,H2,petak,1741.484438,0.174148,175.381813,21,-7.1859,107.91249,1.934983,78,688.113281,693.9375,690.892979,5.824219,7.17721,12.59253,agak curam 8-15%,323.600989,BL,0.062904,urutan kasar
SWH-21,H2,petak,1389.824665,0.138982,166.112697,30,-7.185642,107.912505,1.54425,64,688.0,690.929688,688.781494,2.929688,3.223858,5.632639,landai 3-8%,295.225145,BL,6.45661,urutan kasar
SWH-22,H2,petak,669.163358,0.066916,105.041204,29,-7.18542,107.912355,0.743515,30,688.0,689.835938,688.672135,1.835938,2.391863,4.177015,landai 3-8%,194.216882,S,0.119068,posisi saja
SWH-23,H2,petak,631.879624,0.063188,103.610914,30,-7.185412,107.912618,0.702088,25,688.382812,690.507812,689.599531,2.125,3.494197,6.106097,landai 3-8%,236.537941,BD,7.110359,posisi saja
