periode,label,R80_mm,Re_mm_hari,eto_mm_hari
1,Jan-I,103.02,4.807599999999999,3.5621632659885334
2,Jan-II,121.25999999999999,5.305124999999999,3.3776153712007906
3,Feb-I,160.09999999999997,7.471333333333331,3.328085629463783
4,Feb-II,131.61999999999998,6.927368421052629,3.6532087105961444
5,Mar-I,130.1,6.071333333333333,3.512006117103979
6,Mar-II,107.46,4.701375,3.7331168886685986
7,Apr-I,68.17999999999999,3.181733333333333,3.472806536584225
8,Apr-II,64.1,2.9913333333333325,3.4603547966990025
9,Mei-I,35.099999999999994,1.6379999999999995,3.433361225740719
10,Mei-II,36.3,1.5881249999999998,3.1331037079991573
11,Jun-I,38.24,1.7845333333333333,2.916108348331741
12,Jun-II,24.68,1.1517333333333333,2.8246093043370912
13,Jul-I,54.779999999999994,2.5563999999999996,2.745953203205513
14,Jul-II,42.89999999999999,1.8768749999999994,2.8617356266490446
15,Agu-I,28.179999999999993,1.3150666666666662,3.0629844765240626
16,Agu-II,22.900000000000002,1.001875,3.308854241835545
17,Sep-I,29.399999999999995,1.3719999999999997,3.5464616408361267
18,Sep-II,53.41999999999999,2.492933333333333,3.8258401794794743
19,Okt-I,37.12,1.7322666666666666,3.9455934259563765
20,Okt-II,56.97999999999999,2.4928749999999993,3.9643267818462675
21,Nov-I,64.5,3.01,3.812437309095223
22,Nov-II,110.11999999999999,5.138933333333332,3.5877787594206576
23,Des-I,153.1,7.144666666666666,3.426972797914828
24,Des-II,148.28,6.4872499999999995,3.441100120605168
