hari_ke,tanggal,periode,tahap,eto,etc,perkolasi,wlr,kebutuhan,re,nfr,dr_l_s_ha
-30,2024-10-02,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-29,2024-10-03,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-28,2024-10-04,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-27,2024-10-05,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-26,2024-10-06,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-25,2024-10-07,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-24,2024-10-08,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-23,2024-10-09,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-22,2024-10-10,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-21,2024-10-11,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-20,2024-10-12,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-19,2024-10-13,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-18,2024-10-14,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-17,2024-10-15,19,siap lahan,3.9455934259563765,,2.0,0.0,11.90155975275366,1.7322666666666666,10.169293086086993,1.810771560912926
-16,2024-10-16,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-15,2024-10-17,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-14,2024-10-18,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-13,2024-10-19,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-12,2024-10-20,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-11,2024-10-21,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-10,2024-10-22,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-9,2024-10-23,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-8,2024-10-24,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-7,2024-10-25,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-6,2024-10-26,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-5,2024-10-27,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-4,2024-10-28,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-3,2024-10-29,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
-2,2024-10-30,20,siap lahan,3.9643267818462675,,2.0,0.0,11.914430703573137,2.4928749999999993,9.421555703573137,1.6776274400949316
