pita,n_sel,lereng,luas_m2,luas_pct,pakai_m3_bulan1,loss_m3_bulan1,menguap_m3,meresap_m3,melimpas_m3,debit_lewat_maks_l_s
599,2,9.8,44.48423876592891,0.13413816230717635,13.038997399538806,9.6985378163071,5.806718528849012,2.6690543259557353,1.2227649615023475,0.008055079446620438
600,11,11.236363636363636,244.66331321260898,0.73775989268947,71.71448569746342,53.341957989689035,31.936951908669563,14.679798792756536,6.7252072882629115,0.05235801640303285
601,23,13.117391304347825,511.56874580818237,1.542588866532528,149.94847009469623,111.5331848875316,66.77726308176364,30.694124748490935,14.061797057277001,0.1449914300391679
602,29,14.493103448275862,645.0214621059691,1.9450033534540572,189.0654622933127,140.6287983364529,84.19741866831066,38.701287726358146,17.730091941784043,0.26179008201516424
603,34,15.208823529411765,756.2320590207914,2.280348759221998,221.66295579215966,164.87514287722064,98.7142149904332,45.3739235412475,20.78700434553992,0.39872643260771173
604,41,16.036585365853657,911.9268947015427,2.7498323272971157,267.2994466905455,198.82002523429546,119.03772984140474,54.71561368209258,25.06668171079812,0.5638555612634307
605,53,12.954716981132076,1178.8323272971159,3.554661301140173,345.53343108777824,257.011252132138,153.87804101449882,70.72993963782696,32.4032714798122,0.7773151665988723
606,40,14.785,889.6847753185781,2.682763246143527,260.779947990776,193.9707563261419,116.13437057698022,53.38108651911468,24.45529923004695,0.938416755531281
607,27,17.42222222222222,600.5372233400402,1.8108651911468807,176.02646489377378,130.93026052014577,78.39070013946166,36.03223340040242,16.507326980281697,1.047160328060657
608,44,14.738636363636363,978.6532528504359,2.95103957075788,286.85794278985367,213.36783195875614,127.74780763467825,58.71919517102614,26.900829153051646,1.2243720758863068
609,68,11.81764705882353,1512.4641180415829,4.560697518443996,443.32591158431933,329.7502857544413,197.4284299808664,90.747847082495,41.57400869107984,1.4982447770714018
610,74,11.94054054054054,1645.9168343393696,4.9631120053655255,482.4429037829357,358.84589920336236,214.84858556741347,98.75501006036215,45.24230357558685,1.7962827165963582
611,116,9.15,2580.0858484238765,7.780013413816229,756.2618491732508,562.5151933458116,336.78967467324264,154.80515090543258,70.92036776713617,2.263477324500344
612,109,10.976146788990826,2424.3910127431254,7.310529845741112,710.6253582748648,528.5703109887365,316.46615982227115,145.46346076458758,66.64069040187793,2.702479154341158
613,89,12.077528089887641,1979.5486250838364,5.969148222669348,580.2353842794769,431.5849328256659,258.3989745337811,118.77291750503018,54.41304078685447,3.060930189715767
614,95,11.146315789473686,2113.0013413816228,6.371562709590877,619.3523764780932,460.68054627458685,275.81913012032805,126.7800804828974,58.08133567136151,3.4435464634302386
615,84,11.804761904761905,1868.338028169014,5.633802816901407,547.6378907806295,407.3385882848979,243.8821782116585,112.10028169014083,51.356128383098614,3.7818598001882973
616,76,11.868421052631579,1690.4010731052983,5.097250167672701,495.48190118247453,368.5444370196698,220.65530409626243,101.42406438631791,46.46506853708923,4.087952819159874
617,87,10.564367816091954,1935.0643863179073,5.835010060362171,567.1963868799378,421.8863950093588,252.592256004932,116.10386317907441,53.19027582535212,4.438348775087862
618,61,11.250819672131147,1356.7692823608318,4.091213950368879,397.6894206859336,295.8054033973664,177.1049151298949,81.40615694164988,37.29433132582161,4.684028698209786
619,70,10.117142857142857,1556.9483568075116,4.694835680751172,456.3649089838582,339.44882357074835,203.2351485097154,93.41690140845067,42.79677365258217,4.965956478841501
620,101,7.304950495049504,2246.45405767941,6.773977196512408,658.4693686767099,489.7761597235085,293.2392857068752,134.7872434607646,61.74963055586858,5.372737990895833
621,53,9.039622641509434,1178.8323272971159,3.554661301140173,345.53343108777824,257.011252132138,153.87804101449882,70.72993963782696,32.4032714798122,5.586197596231274
622,47,8.814893617021276,1045.3796109993293,3.1522468142186444,306.41643888916184,227.91563868321674,136.4578854279518,62.72277665995977,28.73497659530517,5.775491963226855
623,52,6.326923076923077,1156.5902079141517,3.4875922199865856,339.01393238800904,252.1619832239845,150.97468175007435,69.3954124748491,31.79188899906104,5.984924028838987
624,5,3.9200000000000004,111.21059691482226,0.33534540576794086,32.597493498847,24.246344540767737,14.516796322122527,6.672635814889335,3.056912403755869,6.005061727455538
