kalender,rezim,periode,label,nfr_mm,q_maks,volume_m3
110 hari (modern),FL  (genangan),1,Jan-I,293.25952114971915,2.9943053878989874,14962.10076905867
110 hari (modern),FL  (genangan),2,Jan-II,377.65102018554046,4.034527936738947,19267.755049866275
110 hari (modern),FL  (genangan),3,Feb-I,467.25553901876106,4.034527936738947,23839.377600737185
110 hari (modern),FL  (genangan),4,Feb-II,484.4565839083688,3.6670740611298336,24716.974911004974
110 hari (modern),FL  (genangan),5,Mar-I,510.01868024924266,4.392028987040676,26021.15306631636
110 hari (modern),FL  (genangan),6,Mar-II,581.0221953783171,4.392028987040676,29643.75240820174
110 hari (modern),FL  (genangan),7,Apr-I,638.3611070829315,4.250108775447963,32569.183683371168
110 hari (modern),FL  (genangan),8,Apr-II,692.0427352581512,4.958893364726993,35308.02035287087
110 hari (modern),FL  (genangan),9,Mei-I,735.7677196538776,5.06635687585009,37538.869056740834
110 hari (modern),FL  (genangan),10,Mei-II,766.3402370561942,5.854746936952131,39098.67889460702
110 hari (modern),FL  (genangan),11,Jun-I,792.3830853701145,5.854746936952131,40427.38501558324
110 hari (modern),FL  (genangan),12,Jun-II,791.8845505926552,5.765117735374233,40401.94977123727
110 hari (modern),FL  (genangan),13,Jul-I,802.345188052131,5.901749468669447,40935.65149441972
110 hari (modern),FL  (genangan),14,Jul-II,807.9126856038499,5.901749468669447,41219.70521950842
110 hari (modern),FL  (genangan),15,Agu-I,788.7217493747612,5.488046765727721,40240.583653100315
110 hari (modern),FL  (genangan),16,Agu-II,758.3415179042955,5.8987298193456885,38690.584243477155
110 hari (modern),FL  (genangan),17,Sep-I,704.2839392078336,6.180856274847609,35932.56657838367
110 hari (modern),FL  (genangan),18,Sep-II,642.9191799232585,6.180856274847609,32801.73655968465
110 hari (modern),FL  (genangan),19,Okt-I,562.8983918466517,6.056996337146764,28719.075952016174
110 hari (modern),FL  (genangan),20,Okt-II,507.43655530075046,6.005061727455536,25889.41305144429
110 hari (modern),FL  (genangan),21,Nov-I,439.7600509588605,6.005061727455536,22436.55779992106
110 hari (modern),FL  (genangan),22,Nov-II,387.09241091738556,5.563515879586822,19749.45480500501
110 hari (modern),FL  (genangan),23,Des-I,328.3907763910802,5.1966613724557655,16754.49741147291
110 hari (modern),FL  (genangan),24,Des-II,291.692623923931,3.849133364528184,14882.157672598962
110 hari (modern),SRI (intermiten),1,Jan-I,179.4408103694854,2.9943053878989874,9155.070145051144
110 hari (modern),SRI (intermiten),2,Jan-II,246.56722223057815,4.034527936738947,12579.859678204097
110 hari (modern),SRI (intermiten),3,Feb-I,309.39417566198574,4.034527936738947,15785.290842274511
110 hari (modern),SRI (intermiten),4,Feb-II,304.7436424078877,3.6670740611298336,15548.02063565043
110 hari (modern),SRI (intermiten),5,Mar-I,317.48739550428945,3.6670740611298336,16198.206918628848
110 hari (modern),SRI (intermiten),6,Mar-II,376.68479103683944,3.26821602255259,19218.458038699548
110 hari (modern),SRI (intermiten),7,Apr-I,434.763870031275,4.165902511685364,22181.65264899565
110 hari (modern),SRI (intermiten),8,Apr-II,489.1048475751337,4.958893364726993,24954.12932328332
110 hari (modern),SRI (intermiten),9,Mei-I,533.2471591377096,5.06635687585009,27206.27005920594
110 hari (modern),SRI (intermiten),10,Mei-II,563.8280381334164,5.854746936952131,28766.506505566904
110 hari (modern),SRI (intermiten),11,Jun-I,589.4045256729504,5.854746936952131,30071.41889983393
110 hari (modern),SRI (intermiten),12,Jun-II,588.1387391855146,5.765117735374233,30006.838473244956
110 hari (modern),SRI (intermiten),13,Jul-I,597.5786292595326,5.901749468669447,30488.461664821352
110 hari (modern),SRI (intermiten),14,Jul-II,602.1197527183339,5.901749468669447,30720.149783689394
110 hari (modern),SRI (intermiten),15,Agu-I,582.6933325659128,5.488046765727721,29729.01382751287
110 hari (modern),SRI (intermiten),16,Agu-II,556.8921444012673,5.8987298193456885,28412.637207352655
110 hari (modern),SRI (intermiten),17,Sep-I,517.2365793644092,6.180856274847609,26389.410279172153
110 hari (modern),SRI (intermiten),18,Sep-II,469.24130516219896,6.180856274847609,23940.69138937539
110 hari (modern),SRI (intermiten),19,Okt-I,415.16037310354386,6.056996337146764,21181.48223574281
110 hari (modern),SRI (intermiten),20,Okt-II,364.0693702831142,6.005061727455536,18574.819271844488
110 hari (modern),SRI (intermiten),21,Nov-I,323.53865206844097,6.005061727455536,16506.942028531856
110 hari (modern),SRI (intermiten),22,Nov-II,273.6117769531172,5.563515879586822,13959.67286014804
110 hari (modern),SRI (intermiten),23,Des-I,231.68483064803084,5.1966613724557655,11820.560059662532
110 hari (modern),SRI (intermiten),24,Des-II,176.4483807022711,3.849133364528184,9002.39638342987
150 hari (lokal),FL  (genangan),1,Jan-I,435.02490766248576,2.9943053878989874,22194.970788940023
150 hari (lokal),FL  (genangan),2,Jan-II,524.6450558624562,4.034527936738947,26767.39075010251
150 hari (lokal),FL  (genangan),3,Feb-I,609.4274410020319,4.034527936738947,31092.98803992366
150 hari (lokal),FL  (genangan),4,Feb-II,609.0429402413642,3.6670740611298336,31073.370811114408
150 hari (lokal),FL  (genangan),5,Mar-I,629.6223444274888,4.392028987040676,32123.332012690476
150 hari (lokal),FL  (genangan),6,Mar-II,704.195494453231,4.250108775447963,35928.054127003845
150 hari (lokal),FL  (genangan),7,Apr-I,791.3214215357607,4.250108775447963,40373.21892675451
150 hari (lokal),FL  (genangan),8,Apr-II,861.8015650441811,4.958893364726993,43969.11584855412
150 hari (lokal),FL  (genangan),9,Mei-I,901.0454858481851,5.06635687585009,45971.3406879744
150 hari (lokal),FL  (genangan),10,Mei-II,928.559817261867,5.854746936952131,47375.121876700454
150 hari (lokal),FL  (genangan),11,Jun-I,948.5045982965845,5.854746936952131,48392.70460509174
150 hari (lokal),FL  (genangan),12,Jun-II,939.3564858701741,5.765117735374233,47925.967909096275
150 hari (lokal),FL  (genangan),13,Jul-I,902.1688171631,5.901749468669447,46028.653051661364
150 hari (lokal),FL  (genangan),14,Jul-II,855.5009601302356,5.901749468669447,43647.65898584462
150 hari (lokal),FL  (genangan),15,Agu-I,794.9683090056296,5.488046765727721,40559.28312546722
150 hari (lokal),FL  (genangan),16,Agu-II,766.100958321498,5.8987298193456885,39086.47089356282
150 hari (lokal),FL  (genangan),17,Sep-I,715.718395469721,6.180856274847609,36515.95253686517
150 hari (lokal),FL  (genangan),18,Sep-II,654.2350635201674,6.180856274847609,33379.072940798935
150 hari (lokal),FL  (genangan),19,Okt-I,564.6118594305351,6.056996337146764,28806.4970681459
150 hari (lokal),FL  (genangan),20,Okt-II,507.0941772968532,6.005061727455536,25871.94492568545
150 hari (lokal),FL  (genangan),21,Nov-I,455.46240844312985,6.005061727455536,23237.692078768483
150 hari (lokal),FL  (genangan),22,Nov-II,436.2220006694717,5.563515879586822,22256.046474156443
150 hari (lokal),FL  (genangan),23,Des-I,413.2913485201056,5.1966613724557655,21086.124601495787
150 hari (lokal),FL  (genangan),24,Des-II,415.4394920977874,3.849133364528184,21195.722886829113
150 hari (lokal),SRI (intermiten),1,Jan-I,284.41187404525385,2.9943053878989874,14510.693813788852
150 hari (lokal),SRI (intermiten),2,Jan-II,354.4697980441198,4.034527936738947,18085.04909621099
150 hari (lokal),SRI (intermiten),3,Feb-I,413.19934858467894,4.034527936738947,21081.43076479032
150 hari (lokal),SRI (intermiten),4,Feb-II,391.62376338395126,3.6670740611298336,19980.64440784919
150 hari (lokal),SRI (intermiten),5,Mar-I,401.32072272051636,3.6670740611298336,20475.383273200743
150 hari (lokal),SRI (intermiten),6,Mar-II,464.06526735256216,3.26821602255259,23676.60994032772
150 hari (lokal),SRI (intermiten),7,Apr-I,551.7837536760379,4.165902511685364,28152.00711255145
150 hari (lokal),SRI (intermiten),8,Apr-II,622.5316432314997,4.958893364726993,31761.564437671117
150 hari (lokal),SRI (intermiten),9,Mei-I,661.5470982659792,5.06635687585009,33752.13295353026
150 hari (lokal),SRI (intermiten),10,Mei-II,688.4593857299137,5.854746936952131,35125.19785994019
150 hari (lokal),SRI (intermiten),11,Jun-I,707.3894671305698,5.854746936952131,36091.010613001665
150 hari (lokal),SRI (intermiten),12,Jun-II,697.1067258348397,5.765117735374233,35566.38515209352
150 hari (lokal),SRI (intermiten),13,Jul-I,661.3855553826703,5.901749468669447,33743.891035623834
150 hari (lokal),SRI (intermiten),14,Jul-II,624.6278499989469,5.901749468669447,31868.51290694627
150 hari (lokal),SRI (intermiten),15,Agu-I,578.0588950301717,5.488046765727721,29492.56482443936
150 hari (lokal),SRI (intermiten),16,Agu-II,554.5780010014466,5.8987298193456885,28294.569611093808
150 hari (lokal),SRI (intermiten),17,Sep-I,515.547490562692,6.180856274847609,26303.232968508542
150 hari (lokal),SRI (intermiten),18,Sep-II,468.5417690189585,6.180856274847609,23905.001055347264
150 hari (lokal),SRI (intermiten),19,Okt-I,415.67745483648577,6.056996337146764,21207.863745757502
150 hari (lokal),SRI (intermiten),20,Okt-II,365.45185867611275,6.005061727455536,18645.353829655272
150 hari (lokal),SRI (intermiten),21,Nov-I,329.02239174989637,6.005061727455536,16786.722427079712
