x_m,y_m,lon,lat,elev_m,lereng_deg,lereng_persen,arah_hadap_deg,akumulasi_sel,tangkapan_ha
-61.64,123.7,115.1370936,-8.3700927,620.54,2.95,5.1,71.5,25,0.056
-66.37,119.01,115.1370507,-8.3701352,621.08,2.77,4.8,88.0,23,0.051
-61.64,119.01,115.1370936,-8.3701352,620.7,2.44,4.3,77.5,24,0.054
-56.91,119.01,115.1371366,-8.3701352,620.43,2.19,3.8,64.7,24,0.054
-52.19,119.01,115.1371795,-8.3701352,620.34,2.09,3.6,51.5,2,0.004
-66.37,114.31,115.1370507,-8.3701776,621.07,2.36,4.1,96.8,22,0.049
-61.64,114.31,115.1370936,-8.3701776,620.87,1.96,3.4,86.6,23,0.051
-56.91,114.31,115.1371366,-8.3701776,620.74,1.67,2.9,73.0,1,0.002
-52.19,114.31,115.1371795,-8.3701776,620.71,1.54,2.7,58.3,24,0.054
-47.46,114.31,115.1372224,-8.3701776,620.76,1.59,2.8,47.5,2,0.004
-71.09,109.62,115.1370078,-8.3702201,621.08,2.55,4.4,108.9,20,0.045
-66.37,109.62,115.1370507,-8.3702201,621.01,2.06,3.6,105.6,21,0.047
-61.64,109.62,115.1370936,-8.3702201,620.97,1.64,2.9,99.9,22,0.049
-56.91,109.62,115.1371366,-8.3702201,620.96,1.29,2.2,91.2,23,0.051
-52.19,109.62,115.1371795,-8.3702201,620.98,1.07,1.9,79.8,1,0.002
-47.46,109.62,115.1372224,-8.3702201,621.01,1.03,1.8,68.9,1,0.002
-42.73,109.62,115.1372653,-8.3702201,621.02,1.18,2.1,63.4,1,0.002
-38.01,109.62,115.1373082,-8.3702201,620.98,1.49,2.6,63.3,1,0.002
-19.1,109.62,115.1374799,-8.3702201,619.96,3.66,6.4,71.3,1,0.002
-14.37,109.62,115.1375228,-8.3702201,619.53,4.22,7.4,72.7,2,0.004
-71.09,104.92,115.1370078,-8.3702625,620.89,2.36,4.1,109.5,19,0.042
-66.37,104.92,115.1370507,-8.3702625,620.89,1.92,3.4,111.1,20,0.045
-61.64,104.92,115.1370936,-8.3702625,620.92,1.55,2.7,113.0,1,0.002
-56.91,104.92,115.1371366,-8.3702625,620.96,1.25,2.2,115.5,1,0.002
-52.19,104.92,115.1371795,-8.3702625,621.01,1.03,1.8,117.8,1,0.002
-47.46,104.92,115.1372224,-8.3702625,621.04,0.94,1.6,117.1,1,0.002
-42.73,104.92,115.1372653,-8.3702625,621.05,0.98,1.7,110.8,1,0.002
-38.01,104.92,115.1373082,-8.3702625,621.01,1.2,2.1,101.3,1,0.002
-33.28,104.92,115.1373511,-8.3702625,620.91,1.6,2.8,92.6,2,0.004
-28.55,104.92,115.137394,-8.3702625,620.75,2.12,3.7,86.3,3,0.007
-23.83,104.92,115.137437,-8.3702625,620.5,2.72,4.8,82.0,4,0.009
-19.1,104.92,115.1374799,-8.3702625,620.18,3.35,5.9,79.3,5,0.011
-14.37,104.92,115.1375228,-8.3702625,619.76,3.97,6.9,77.4,6,0.013
-9.65,104.92,115.1375657,-8.3702625,619.28,4.55,8.0,76.0,7,0.016
-4.92,104.92,115.1376086,-8.3702625,618.76,5.1,8.9,74.9,8,0.018
-0.19,104.92,115.1376515,-8.3702625,618.23,5.62,9.8,73.7,9,0.02
4.53,104.92,115.1376945,-8.3702625,617.73,6.09,10.7,72.3,10,0.022
-75.82,100.22,115.1369649,-8.370305,620.82,2.77,4.8,100.5,16,0.036
-71.09,100.22,115.1370078,-8.370305,620.75,2.29,4.0,104.4,17,0.038
-66.37,100.22,115.1370507,-8.370305,620.73,1.93,3.4,110.4,18,0.04
-61.64,100.22,115.1370936,-8.370305,620.73,1.66,2.9,118.9,21,0.047
-56.91,100.22,115.1371366,-8.370305,620.75,1.5,2.6,129.3,2,0.004
-52.19,100.22,115.1371795,-8.370305,620.8,1.44,2.5,139.3,2,0.004
-47.46,100.22,115.1372224,-8.370305,620.84,1.46,2.5,145.4,2,0.004
-42.73,100.22,115.1372653,-8.370305,620.87,1.51,2.6,145.3,2,0.004
-38.01,100.22,115.1373082,-8.370305,620.87,1.6,2.8,138.8,2,0.004
-33.28,100.22,115.1373511,-8.370305,620.82,1.75,3.1,127.2,1,0.002
-28.55,100.22,115.137394,-8.370305,620.71,2.03,3.5,113.8,1,0.002
-23.83,100.22,115.137437,-8.370305,620.54,2.45,4.3,101.9,1,0.002
-19.1,100.22,115.1374799,-8.370305,620.28,2.98,5.2,92.8,2,0.004
-14.37,100.22,115.1375228,-8.370305,619.93,3.56,6.2,86.2,3,0.007
-9.65,100.22,115.1375657,-8.370305,619.5,4.16,7.3,81.5,4,0.009
-4.92,100.22,115.1376086,-8.370305,619.02,4.73,8.3,78.0,5,0.011
-0.19,100.22,115.1376515,-8.370305,618.52,5.26,9.2,75.1,6,0.013
4.53,100.22,115.1376945,-8.370305,618.03,5.74,10.0,72.5,7,0.016
9.26,100.22,115.1377374,-8.370305,617.53,6.14,10.8,69.9,8,0.018
13.99,100.22,115.1377803,-8.370305,617.02,6.44,11.3,67.3,8,0.018
-80.55,95.53,115.136922,-8.3703474,620.98,3.39,5.9,88.4,14,0.031
-75.82,95.53,115.1369649,-8.3703474,620.83,2.83,4.9,90.2,15,0.034
-71.09,95.53,115.1370078,-8.3703474,620.7,2.4,4.2,95.2,16,0.036
-66.37,95.53,115.1370507,-8.3703474,620.58,2.09,3.6,103.9,17,0.038
-61.64,95.53,115.1370936,-8.3703474,620.49,1.9,3.3,116.3,19,0.042
-56.91,95.53,115.1371366,-8.3703474,620.44,1.86,3.2,130.5,22,0.049
-52.19,95.53,115.1371795,-8.3703474,620.45,1.95,3.4,143.3,3,0.007
-47.46,95.53,115.1372224,-8.3703474,620.5,2.1,3.7,152.0,3,0.007
