hari,tanggal,t_maks,t_min,t_rata,rs_mj,hujan_mm,eto_mm,fase,kc_FL,etc_FL,kc_SRI,etc_SRI
1,2026-05-15,29.49,17.84,23.66,16.99,0.0,3.897,awal,1.01,3.936,1.0,3.897
2,2026-05-16,27.58,19.95,23.76,13.43,0.0,3.088,awal,1.01,3.119,1.0,3.088
3,2026-05-17,28.93,17.22,23.07,12.69,2.7,2.867,awal,1.01,2.896,1.0,2.867
4,2026-05-18,28.01,18.19,23.1,13.81,7.3,3.123,awal,1.01,3.154,1.0,3.123
5,2026-05-19,28.71,17.1,22.91,12.66,0.0,2.849,awal,1.01,2.877,1.0,2.849
6,2026-05-20,28.76,17.88,23.32,14.05,6.5,3.195,awal,1.01,3.227,1.0,3.195
7,2026-05-21,28.03,17.18,22.61,10.01,1.2,2.235,awal,1.01,2.257,1.0,2.235
8,2026-05-22,28.6,17.22,22.91,14.16,33.6,3.187,awal,1.01,3.219,1.0,3.187
9,2026-05-23,29.01,17.07,23.04,10.26,42.8,2.317,awal,1.01,2.34,1.0,2.317
10,2026-05-24,32.17,18.15,25.16,18.2,0.0,4.331,awal,1.01,4.374,1.0,4.331
11,2026-05-25,30.02,18.23,24.13,10.12,2.8,2.348,awal,1.01,2.371,1.0,2.348
12,2026-05-26,27.49,18.39,22.94,11.79,0.2,2.655,awal,1.01,2.682,1.0,2.655
13,2026-05-27,29.17,18.34,23.76,13.89,0.0,3.194,awal,1.01,3.226,1.0,3.194
14,2026-05-28,31.65,17.15,24.4,16.1,0.0,3.761,awal,1.01,3.799,1.0,3.761
15,2026-05-29,29.19,17.4,23.3,18.64,0.0,4.237,awal,1.01,4.279,1.0,4.237
16,2026-05-30,28.36,18.22,23.29,13.3,0.0,3.022,awal,1.01,3.052,1.0,3.022
17,2026-05-31,30.59,19.49,25.04,17.39,0.0,4.127,awal,1.01,4.168,1.0,4.127
18,2026-06-01,30.49,17.46,23.97,12.72,0.0,2.94,awal,1.01,2.969,1.0,2.94
19,2026-06-02,30.76,17.81,24.28,19.51,0.0,4.544,awal,1.01,4.589,1.0,4.544
20,2026-06-03,29.61,19.79,24.7,14.65,0.9,3.448,awal,1.01,3.482,1.0,3.448
21,2026-06-04,30.44,18.12,24.28,17.85,0.0,4.158,pertumbuhan,1.02,4.241,0.96,3.992
22,2026-06-05,29.88,19.05,24.46,16.36,0.0,3.828,pertumbuhan,1.02,3.905,0.96,3.675
23,2026-06-06,30.72,18.9,24.81,22.32,0.0,5.267,pertumbuhan,1.02,5.372,0.96,5.056
