id_petak,urutan,luas_m2,luas_ha,cara_ambil_air,a_perkolasi,perk_per_mm,varietas
P01,1,1042.7900669795272,0.10427900669795272,chokubun,4.6186744669958224e-07,0.03990534739484391,Ciherang
P02,2,3604.9855101877147,0.3604985510187715,chokubun,5.593405557396487e-07,0.04832702401590565,Ciherang
P03,3,6031.811898544183,0.6031811898544184,chokubun,6.271964977562506e-07,0.054189777406140054,Ciherang
P04,4,6911.895270939636,0.6911895270939636,chokubun,3.5748629910626836e-07,0.030886816242781587,Ciherang
P05,5,6317.4444292249445,0.6317444429224944,shusui,1.5878936600033426e-06,0.13719401222428879,Ciherang
P06,6,6063.106439224239,0.6063106439224238,shusui,1.2319048980044306e-06,0.10643658318758281,Ciherang
P07,7,5376.128646143978,0.5376128646143977,shusui,1.1844085015566705e-06,0.10233289453449633,Ciherang
P08,8,4139.206298698387,0.41392062986983874,shusui,1.5752585919612405e-06,0.13610234234545118,Ciherang
P09,9,2368.5504526999375,0.23685504526999376,tagoshi,3.708080819465363e-07,0.032037818280180735,Ciherang
P10,10,1816.409234566081,0.1816409234566081,tagoshi,5.320605021004614e-07,0.045970027381479865,Ciherang
P11,11,1445.6520402603464,0.14456520402603465,tagoshi,4.826601457459074e-07,0.0417018365924464,Ciherang
P12,12,509.25879283292625,0.050925879283292626,tagoshi,3.7199171192302906e-07,0.03214008391014971,Ciherang
